source_name,MJD,mag,mag_err,RA,DEC
083325.69+391204.7,55178.34376,17.93,0.15,128.35693,39.20148
083325.69+391204.7,55178.34954,17.95,0.15,128.3567,39.2012
083325.69+391204.7,55185.33333,17.87,0.1,128.35693,39.20138
083325.69+391204.7,55185.34211,17.94,0.11,128.35707,39.20137
083325.69+391204.7,55185.3509,17.91,0.1,128.35685,39.20132
083325.69+391204.7,55185.36053,17.83,0.1,128.35723,39.20126
083325.69+391204.7,54875.32198,17.87,0.1,128.35689,39.20143
083325.69+391204.7,54875.32802,18.3,0.12,128.35698,39.20161
083325.69+391204.7,54875.33398,18.06,0.11,128.35703,39.20152
083325.69+391204.7,54875.34002,17.83,0.1,128.3569,39.20144
083325.69+391204.7,54889.18143,17.76,0.1,128.35692,39.2013
083325.69+391204.7,54889.18927,18.05,0.11,128.35694,39.20153
083325.69+391204.7,54889.19706,17.98,0.11,128.35714,39.20146
083325.69+391204.7,54889.20495,17.92,0.11,128.357,39.20147
083325.69+391204.7,54851.27117,17.97,0.1,128.3568,39.20142
083325.69+391204.7,54851.27758,18.09,0.1,128.35709,39.20151
083325.69+391204.7,54851.28401,18.07,0.1,128.35683,39.20143
083325.69+391204.7,54851.29057,18.1,0.1,128.35703,39.20151
083325.69+391204.7,54861.19413,18.06,0.11,128.357,39.2014
083325.69+391204.7,54861.20332,17.92,0.11,128.35707,39.20149
083325.69+391204.7,54861.21245,17.91,0.11,128.35689,39.20131
083325.69+391204.7,54861.22167,17.83,0.1,128.35722,39.20135
083325.69+391204.7,54913.20954,18.0,0.11,128.35704,39.20157
083325.69+391204.7,54913.21558,18.02,0.11,128.35707,39.20149
083325.69+391204.7,54913.22168,17.96,0.11,128.35705,39.20131
083325.69+391204.7,54913.2278,17.99,0.11,128.35717,39.20139
083325.69+391204.7,54965.1652,18.12,0.12,128.357,39.20144
083325.69+391204.7,54965.17072,17.97,0.11,128.35685,39.20154
083325.69+391204.7,54965.17615,18.21,0.12,128.35708,39.20154
083325.69+391204.7,54965.18154,17.77,0.11,128.35713,39.20125
083325.69+391204.7,55151.38257,17.96,0.11,128.35697,39.20139
083325.69+391204.7,55151.39494,18.01,0.11,128.35697,39.20151
083325.69+391204.7,55151.40723,17.86,0.11,128.35698,39.20148
083325.69+391204.7,55151.41941,17.97,0.11,128.35697,39.20147
083325.69+391204.7,55130.41742,18.03,0.11,128.3572,39.20143
083325.69+391204.7,55130.42654,18.05,0.11,128.35708,39.20148
083325.69+391204.7,55130.4357,17.87,0.11,128.35716,39.20137
083325.69+391204.7,55130.44482,17.98,0.11,128.35701,39.20133
083325.69+391204.7,55091.47246,17.98,0.11,128.35692,39.20159
083325.69+391204.7,55091.47923,18.01,0.11,128.35732,39.20158
083325.69+391204.7,55091.48601,18.15,0.12,128.3572,39.20158
083325.69+391204.7,55091.49272,18.09,0.12,128.35725,39.20139
083325.69+391204.7,55293.2315,17.83,0.1,128.35703,39.20126
083325.69+391204.7,55293.23608,17.9,0.11,128.35692,39.20139
083325.69+391204.7,55293.2407,17.97,0.11,128.35685,39.20146
083325.69+391204.7,55293.24529,17.82,0.1,128.35709,39.20151
083325.69+391204.7,55300.14431,17.65,0.1,128.35683,39.20139
083325.69+391204.7,55300.1512,17.76,0.1,128.3566,39.20132
083325.69+391204.7,55300.15806,17.8,0.1,128.35686,39.2013
083325.69+391204.7,55300.16494,17.84,0.1,128.357,39.20142
083325.69+391204.7,55533.3562,17.9,0.1,128.35701,39.2014
083325.69+391204.7,55533.36826,18.05,0.1,128.35691,39.2015
083325.69+391204.7,55533.37431,17.97,0.1,128.3571,39.2017
083325.69+391204.7,55543.3787,18.03,0.1,128.35694,39.2013
083325.69+391204.7,55543.39397,17.95,0.1,128.35709,39.20133
083325.69+391204.7,55543.4016,17.85,0.1,128.35695,39.20146
083325.69+391204.7,55229.33474,17.82,0.23,128.35692,39.20191
083325.69+391204.7,55229.34598,17.31,0.2,128.35724,39.20074
083325.69+391204.7,55240.22097,17.95,0.11,128.35694,39.20143
083325.69+391204.7,55240.22844,17.92,0.11,128.35688,39.2014
083325.69+391204.7,55240.23598,17.91,0.11,128.35684,39.20132
083325.69+391204.7,55240.2435,17.79,0.1,128.35687,39.20138
083325.69+391204.7,55246.25607,17.84,0.1,128.35704,39.2015
083325.69+391204.7,55246.26438,17.87,0.11,128.35712,39.20147
083325.69+391204.7,55246.27172,17.9,0.11,128.35698,39.20142
083325.69+391204.7,55246.27879,17.83,0.1,128.35688,39.20146
083325.69+391204.7,55206.26643,17.72,0.12,128.35689,39.20147
083325.69+391204.7,55206.27281,17.96,0.15,128.35697,39.20126
083325.69+391204.7,55206.27916,17.73,0.13,128.35687,39.20137
083325.69+391204.7,55206.28551,17.97,0.15,128.35694,39.20139
083325.69+391204.7,55274.21277,17.66,0.1,128.35691,39.20139
083325.69+391204.7,55274.22018,17.75,0.1,128.35702,39.20138
083325.69+391204.7,55274.22762,17.93,0.11,128.35691,39.20144
083325.69+391204.7,55274.23505,17.84,0.11,128.35702,39.20145
083325.69+391204.7,55328.14149,17.81,0.11,128.35687,39.20145
083325.69+391204.7,55328.1484,17.85,0.11,128.35697,39.20125
083325.69+391204.7,55328.15528,17.87,0.11,128.35693,39.20161
083325.69+391204.7,55328.16221,17.89,0.11,128.35695,39.20162
083325.69+391204.7,55503.42529,17.92,0.11,128.35687,39.20149
083325.69+391204.7,55503.4367,18.01,0.11,128.35725,39.20145
083325.69+391204.7,55503.44245,17.98,0.11,128.35695,39.20147
083325.69+391204.7,55510.41242,17.89,0.11,128.35704,39.2015
083325.69+391204.7,55510.42277,17.85,0.11,128.35685,39.20142
083325.69+391204.7,55510.42798,18.16,0.12,128.35689,39.20153
083325.69+391204.7,55500.47743,17.92,0.11,128.35704,39.20157
083325.69+391204.7,55500.49112,17.69,0.1,128.35704,39.20142
083325.69+391204.7,55680.18108,18.05,0.11,128.35704,39.20147
083325.69+391204.7,55680.18933,18.01,0.1,128.35705,39.20149
083325.69+391204.7,55680.19762,17.9,0.1,128.35698,39.20149
083325.69+391204.7,55680.20582,17.83,0.1,128.35693,39.20135
083325.69+391204.7,55598.18743,17.89,0.1,128.35691,39.20146
083325.69+391204.7,55598.19428,18.01,0.1,128.35699,39.20175
083325.69+391204.7,55598.20114,18.04,0.1,128.35701,39.20163
083325.69+391204.7,55598.20797,17.66,0.09,128.35709,39.20138
083325.69+391204.7,55564.28137,17.97,0.12,128.3571,39.20152
083325.69+391204.7,55564.28884,17.81,0.11,128.35699,39.20149
083325.69+391204.7,55564.29637,17.98,0.11,128.35689,39.20152
083325.69+391204.7,55564.30386,18.03,0.11,128.357,39.20145
083325.69+391204.7,55571.34814,18.03,0.11,128.35713,39.20152
083325.69+391204.7,55571.35284,17.99,0.11,128.35701,39.20156
083325.69+391204.7,55571.3576,17.94,0.15,128.35685,39.20162
083325.69+391204.7,55571.36254,18.17,0.18,128.35689,39.20158
083325.69+391204.7,55589.24352,17.78,0.1,128.35709,39.20155
083325.69+391204.7,55589.24924,17.97,0.11,128.35696,39.20158
083325.69+391204.7,55589.25503,18.06,0.11,128.35677,39.2015
083325.69+391204.7,55589.2608,17.86,0.11,128.357,39.20151
083325.69+391204.7,55626.12217,17.91,0.13,128.35676,39.20165
083325.69+391204.7,55626.12558,18.01,0.12,128.35703,39.20174
083325.69+391204.7,55626.12912,17.83,0.11,128.35712,39.20143
083325.69+391204.7,55626.13258,18.11,0.12,128.357,39.2016
083325.69+391204.7,55632.1138,18.23,0.15,128.35724,39.20172
083325.69+391204.7,55632.11655,17.82,0.14,128.35701,39.20172
083325.69+391204.7,55632.12234,17.94,0.13,128.35702,39.20154
083325.69+391204.7,55632.1251,17.88,0.14,128.35669,39.20142
083325.69+391204.7,55862.43367,18.09,0.11,128.35706,39.20136
083325.69+391204.7,55862.44183,18.02,0.11,128.35687,39.20128
083325.69+391204.7,55862.45004,17.88,0.11,128.35709,39.20129
083325.69+391204.7,55862.45817,17.87,0.11,128.35684,39.20129
083325.69+391204.7,55834.43824,17.82,0.11,128.35712,39.20129
083325.69+391204.7,55834.44517,17.95,0.11,128.35711,39.20124
083325.69+391204.7,55834.45213,18.0,0.11,128.35715,39.20126
083325.69+391204.7,55834.45909,17.91,0.11,128.35699,39.2013
083325.69+391204.7,55851.4495,17.99,0.11,128.35712,39.2016
083325.69+391204.7,55851.45761,18.03,0.11,128.35694,39.20154
083325.69+391204.7,55851.46571,17.95,0.11,128.35719,39.2014
083325.69+391204.7,55851.47382,18.22,0.12,128.35715,39.20145
083325.69+391204.7,55892.44774,17.86,0.1,128.35719,39.20126
083325.69+391204.7,55892.45241,17.94,0.11,128.35703,39.20147
083325.69+391204.7,55892.45705,18.02,0.11,128.35711,39.20129
083325.69+391204.7,55892.46173,17.93,0.11,128.3571,39.20134
083325.69+391204.7,55922.33695,18.0,0.11,128.35705,39.20143
083325.69+391204.7,55922.34369,17.93,0.11,128.35699,39.20139
083325.69+391204.7,55922.35058,18.02,0.11,128.35705,39.20145
083325.69+391204.7,55922.35738,17.9,0.11,128.35722,39.20144
083325.69+391204.7,55928.2788,17.79,0.1,128.35731,39.20136
083325.69+391204.7,55928.28809,17.89,0.11,128.35711,39.2013
083325.69+391204.7,55928.29729,17.8,0.1,128.35689,39.20125
083325.69+391204.7,55928.30649,18.04,0.11,128.35699,39.20145
083325.69+391204.7,55940.26658,17.99,0.11,128.35685,39.20141
083325.69+391204.7,55940.27166,17.9,0.11,128.35704,39.20148
083325.69+391204.7,55940.27678,17.92,0.11,128.35713,39.20146
083325.69+391204.7,55940.28193,17.99,0.11,128.35713,39.2014
083325.69+391204.7,55967.19847,18.15,0.12,128.35719,39.2013
083325.69+391204.7,55967.20641,17.83,0.11,128.35711,39.20142
083325.69+391204.7,55967.21429,17.91,0.11,128.35705,39.2015
083325.69+391204.7,55967.22221,18.04,0.11,128.35704,39.20144
083325.69+391204.7,55975.16173,17.82,0.11,128.3571,39.20137
083325.69+391204.7,55975.16851,17.92,0.11,128.35718,39.20122
083325.69+391204.7,55975.17647,18.13,0.12,128.357,39.20146
083325.69+391204.7,55975.1832,17.66,0.1,128.35699,39.20103
083325.69+391204.7,55980.16621,18.02,0.11,128.35712,39.20127
083325.69+391204.7,55980.17235,17.87,0.11,128.35712,39.20116
083325.69+391204.7,55980.17858,17.99,0.11,128.35677,39.20143
083325.69+391204.7,55980.18472,18.0,0.11,128.35693,39.20128
083325.69+391204.7,55987.14208,18.09,0.12,128.35707,39.20139
083325.69+391204.7,55987.14886,17.94,0.11,128.35719,39.20143
083325.69+391204.7,55987.15569,17.98,0.12,128.35699,39.20127
083325.69+391204.7,55987.1625,18.01,0.12,128.3572,39.20144
083325.69+391204.7,56014.16543,18.08,0.1,128.35696,39.20151
083325.69+391204.7,56014.17436,18.16,0.11,128.35706,39.20135
083325.69+391204.7,56014.18326,18.07,0.1,128.35671,39.20143
083325.69+391204.7,56014.19217,18.1,0.11,128.35713,39.20142
083325.69+391204.7,56044.18723,18.22,0.12,128.35702,39.20131
083325.69+391204.7,56044.19576,18.18,0.12,128.35711,39.20145
083325.69+391204.7,56044.2043,18.1,0.12,128.35694,39.20132
083325.69+391204.7,56044.21293,18.07,0.12,128.35698,39.20141
083325.69+391204.7,56069.14525,18.01,0.11,128.35723,39.20134
083325.69+391204.7,56069.15092,17.91,0.11,128.35688,39.20129
083325.69+391204.7,56069.15657,18.19,0.12,128.35704,39.20137
083325.69+391204.7,56069.16232,18.03,0.11,128.35724,39.20133
083325.69+391204.7,56074.15666,18.2,0.12,128.35698,39.20145
083325.69+391204.7,56074.16176,18.05,0.11,128.35701,39.20132
083325.69+391204.7,56074.16686,17.91,0.11,128.35688,39.20133
083325.69+391204.7,56074.1719,18.1,0.12,128.35701,39.20115
083325.69+391204.7,56225.39396,17.85,0.12,128.35747,39.20149
083325.69+391204.7,56225.40001,18.14,0.13,128.35694,39.20139
083325.69+391204.7,56225.40607,18.03,0.13,128.35689,39.20156
083325.69+391204.7,56225.41215,18.16,0.13,128.35672,39.20141
083325.69+391204.7,56227.39493,18.18,0.13,128.35662,39.2013
083325.69+391204.7,56227.40255,18.07,0.13,128.3572,39.20154
083325.69+391204.7,56227.41015,17.87,0.12,128.35689,39.20138
083325.69+391204.7,56227.41777,17.71,0.11,128.35675,39.20108
083325.69+391204.7,56238.50609,18.19,0.11,128.35712,39.20149
083325.69+391204.7,56238.51185,17.95,0.1,128.35696,39.20131
083325.69+391204.7,56238.51769,18.0,0.1,128.35676,39.20151
083325.69+391204.7,56238.5236,17.89,0.1,128.35701,39.20144
083325.69+391204.7,56246.35985,18.15,0.15,128.35712,39.20135
083325.69+391204.7,56246.36667,17.96,0.11,128.35692,39.20151
083325.69+391204.7,56246.37349,17.91,0.11,128.35713,39.20148
083325.69+391204.7,56246.38036,17.96,0.11,128.3569,39.20147
083325.69+391204.7,56255.30725,17.67,0.09,128.35717,39.20144
083325.69+391204.7,56255.317,17.84,0.1,128.35697,39.20138
083325.69+391204.7,56255.32685,18.01,0.1,128.35711,39.20152
083325.69+391204.7,56255.33668,17.91,0.1,128.35693,39.2015
083325.69+391204.7,56270.41323,17.86,0.11,128.35692,39.20135
083325.69+391204.7,56270.41842,18.01,0.11,128.35693,39.20141
083325.69+391204.7,56270.42379,17.83,0.11,128.35722,39.20136
083325.69+391204.7,56270.42935,17.84,0.11,128.35711,39.20133
083325.69+391204.7,56295.23741,17.96,0.11,128.35703,39.20147
083325.69+391204.7,56295.24407,17.91,0.11,128.35685,39.20152
083325.69+391204.7,56295.25115,18.16,0.12,128.35662,39.20146
083325.69+391204.7,56295.25798,18.03,0.11,128.35691,39.20141
083325.69+391204.7,56307.23293,17.92,0.1,128.35699,39.20135
083325.69+391204.7,56307.23829,17.95,0.1,128.35686,39.20133
083325.69+391204.7,56307.24373,18.07,0.1,128.35698,39.20143
083325.69+391204.7,56307.24918,17.93,0.1,128.35702,39.20145
083325.69+391204.7,56313.39755,17.86,0.12,128.3571,39.20131
083325.69+391204.7,56313.4032,18.12,0.18,128.35724,39.20145
083325.69+391204.7,56313.40889,17.52,0.13,128.35652,39.20143
083325.69+391204.7,56313.41456,18.04,0.18,128.35692,39.20146
083325.69+391204.7,56323.41443,17.88,0.11,128.35715,39.20152
083325.69+391204.7,56323.4195,17.91,0.12,128.35685,39.20148
083325.69+391204.7,56323.42456,18.09,0.12,128.35669,39.20172
083325.69+391204.7,56323.42968,18.15,0.12,128.35657,39.20158
083325.69+391204.7,56330.22486,17.88,0.11,128.35703,39.20148
083325.69+391204.7,56330.23001,17.95,0.11,128.35709,39.20157
083325.69+391204.7,56330.23515,18.08,0.12,128.357,39.20161
083325.69+391204.7,56330.24034,17.9,0.11,128.35683,39.20156
083325.69+391204.7,56341.17528,18.03,0.1,128.35694,39.20148
083325.69+391204.7,56341.1814,17.96,0.1,128.357,39.20152
083325.69+391204.7,56341.18759,17.92,0.1,128.35698,39.20142
083325.69+391204.7,56341.19377,17.84,0.1,128.35705,39.20144
083325.69+391204.7,56356.15289,17.98,0.11,128.35695,39.20144
083325.69+391204.7,56356.16266,18.07,0.12,128.35703,39.20133
083325.69+391204.7,56356.17256,17.87,0.11,128.35709,39.20152
083325.69+391204.7,56356.18236,18.01,0.11,128.35676,39.20154
083325.69+391204.7,56367.35176,18.02,0.12,128.35702,39.20151
083325.69+391204.7,56367.35513,17.92,0.11,128.35719,39.20144
083325.69+391204.7,56367.35852,18.5,0.18,128.35686,39.2016
083325.69+391204.7,56367.36193,18.06,0.12,128.35705,39.2013
083325.69+391204.7,55947.17127,18.0,0.11,128.35712,39.20139
083325.69+391204.7,55947.17687,18.0,0.11,128.35708,39.2014
083325.69+391204.7,55947.18254,18.07,0.11,128.35695,39.20148
083325.69+391204.7,55947.18832,18.08,0.12,128.35707,39.20155
083325.69+391204.7,56399.1341,17.93,0.11,128.35707,39.20138
083325.69+391204.7,56399.14138,18.07,0.12,128.35705,39.20147
083325.69+391204.7,56399.14877,18.11,0.12,128.35694,39.2014
083325.69+391204.7,56399.156,18.05,0.12,128.35704,39.20138
083325.69+391204.7,56404.16467,18.0,0.1,128.35722,39.2015
083325.69+391204.7,56404.17412,18.1,0.11,128.35685,39.20128
083325.69+391204.7,56404.18368,17.99,0.1,128.35718,39.20142
083325.69+391204.7,56404.19323,17.77,0.09,128.35744,39.2015
083325.69+391204.7,56431.17858,17.98,0.12,128.35713,39.20162
083325.69+391204.7,56431.18359,17.89,0.11,128.35725,39.20154
083325.69+391204.7,56431.18869,18.19,0.13,128.35711,39.20144
083325.69+391204.7,56431.19372,17.9,0.12,128.35731,39.20139
083325.69+391204.7,56569.4608,18.1,0.12,128.35704,39.20149
083325.69+391204.7,56569.46803,18.05,0.11,128.35712,39.20138
083325.69+391204.7,56569.47539,17.91,0.11,128.35708,39.20144
083325.69+391204.7,56569.48262,18.07,0.12,128.35706,39.20147
083325.69+391204.7,56593.49301,18.03,0.11,128.35694,39.20143
083325.69+391204.7,56593.49704,17.99,0.11,128.35706,39.2014
083325.69+391204.7,56593.50108,18.11,0.12,128.35701,39.20148
083325.69+391204.7,56593.50512,18.19,0.12,128.35691,39.20146
154535.87+014958.1,53464.43882,17.33,0.09,236.39945,1.83289
154535.87+014958.1,53464.44694,17.33,0.09,236.39942,1.83276
154535.87+014958.1,53464.45521,17.45,0.1,236.3994,1.83293
154535.87+014958.1,53464.46336,17.52,0.1,236.39932,1.83302
154535.87+014958.1,53556.26027,17.58,0.1,236.39925,1.83279
154535.87+014958.1,53556.2685,17.47,0.1,236.3994,1.83287
154535.87+014958.1,53556.2768,17.55,0.1,236.39937,1.83292
154535.87+014958.1,53556.28499,17.47,0.1,236.39938,1.83282
154535.87+014958.1,53537.22642,17.55,0.11,236.39937,1.83274
154535.87+014958.1,53537.23362,17.58,0.11,236.39926,1.83283
154535.87+014958.1,53537.24073,17.43,0.11,236.39939,1.83282
154535.87+014958.1,53537.24784,17.09,0.09,236.39958,1.83292
154535.87+014958.1,53494.35923,17.36,0.09,236.39955,1.83301
154535.87+014958.1,53494.36881,17.25,0.09,236.39942,1.83279
154535.87+014958.1,53494.3784,17.42,0.1,236.39943,1.83279
154535.87+014958.1,53494.38795,17.2,0.09,236.39935,1.833
154535.87+014958.1,53509.1927,17.45,0.1,236.39941,1.83295
154535.87+014958.1,53509.20124,17.42,0.1,236.39944,1.83289
154535.87+014958.1,53509.20979,17.18,0.09,236.39941,1.83289
154535.87+014958.1,53509.21835,17.26,0.09,236.3993,1.83267
154535.87+014958.1,53521.33378,17.48,0.1,236.39926,1.83271
154535.87+014958.1,53521.34347,17.31,0.09,236.39934,1.83297
154535.87+014958.1,53521.35324,17.57,0.1,236.39943,1.83286
154535.87+014958.1,53521.363,17.42,0.1,236.39943,1.83301
154535.87+014958.1,53834.45561,17.36,0.1,236.39938,1.83292
154535.87+014958.1,53846.29913,17.48,0.1,236.39948,1.83299
154535.87+014958.1,53846.3091,17.31,0.1,236.39932,1.83295
154535.87+014958.1,53846.31891,17.51,0.1,236.39931,1.83283
154535.87+014958.1,53846.32877,17.4,0.1,236.3994,1.83291
154535.87+014958.1,53976.15329,17.45,0.11,236.39936,1.83273
154535.87+014958.1,53976.1571,17.56,0.12,236.39936,1.83274
154535.87+014958.1,53976.16089,17.45,0.11,236.39941,1.83301
154535.87+014958.1,53976.16467,17.08,0.1,236.39923,1.83279
154535.87+014958.1,53768.48256,17.16,0.09,236.39963,1.833
154535.87+014958.1,53768.48913,17.34,0.1,236.39928,1.83296
154535.87+014958.1,53768.49575,17.38,0.1,236.39944,1.8327
154535.87+014958.1,53768.50227,17.42,0.1,236.39946,1.83289
154535.87+014958.1,53745.52208,17.12,0.09,236.39943,1.83283
154535.87+014958.1,53745.5286,17.34,0.1,236.39933,1.83268
154535.87+014958.1,53745.53514,17.52,0.1,236.39943,1.83295
154535.87+014958.1,53745.54168,17.46,0.1,236.39934,1.83281
154535.87+014958.1,53904.30133,17.91,0.3,236.39946,1.83293
154535.87+014958.1,53904.30239,17.43,0.23,236.39948,1.83291
154535.87+014958.1,53904.30345,17.53,0.24,236.39926,1.83307
154535.87+014958.1,53904.30451,17.55,0.25,236.39927,1.83291
154535.87+014958.1,53907.25507,17.39,0.1,236.39931,1.83287
154535.87+014958.1,53907.26592,17.5,0.1,236.39945,1.83293
154535.87+014958.1,53907.27682,17.35,0.1,236.39957,1.83302
154535.87+014958.1,53907.2877,17.53,0.11,236.3995,1.83295
154535.87+014958.1,53856.32256,17.49,0.1,236.39936,1.83291
154535.87+014958.1,53856.33247,17.4,0.1,236.39943,1.83302
154535.87+014958.1,53856.34241,17.46,0.1,236.39923,1.83289
154535.87+014958.1,53856.35235,17.37,0.1,236.39936,1.83289
154535.87+014958.1,53863.41436,17.31,0.22,236.39923,1.83274
154535.87+014958.1,53863.4152,17.6,0.25,236.39907,1.83271
154535.87+014958.1,53863.41593,17.33,0.22,236.3991,1.83309
154535.87+014958.1,53863.41669,17.49,0.24,236.39941,1.83268
154535.87+014958.1,53878.3267,17.54,0.1,236.3995,1.83289
154535.87+014958.1,53878.33157,17.58,0.1,236.39934,1.83286
154535.87+014958.1,53878.33649,17.47,0.1,236.39944,1.83294
154535.87+014958.1,53878.34141,17.2,0.09,236.39923,1.83283
154535.87+014958.1,53882.23168,17.43,0.1,236.39936,1.83292
154535.87+014958.1,53882.24022,17.44,0.1,236.39934,1.83277
154535.87+014958.1,53882.24876,17.36,0.1,236.39949,1.83297
154535.87+014958.1,53882.2573,17.35,0.1,236.39916,1.83288
154535.87+014958.1,53989.1094,17.64,0.13,236.39957,1.8328
154535.87+014958.1,53989.11158,17.56,0.13,236.39953,1.83287
154535.87+014958.1,53989.11378,17.31,0.12,236.39928,1.83263
154535.87+014958.1,53989.11595,17.15,0.11,236.39955,1.83273
154535.87+014958.1,53994.1093,17.44,0.09,236.39923,1.83289
154535.87+014958.1,53994.11407,17.27,0.09,236.39951,1.83293
154535.87+014958.1,53994.11886,17.32,0.09,236.39939,1.83317
154535.87+014958.1,54206.41841,17.38,0.1,236.39929,1.83289
154535.87+014958.1,54206.42442,17.3,0.09,236.3993,1.83294
154535.87+014958.1,54206.4304,17.24,0.09,236.39956,1.83281
154535.87+014958.1,54206.43638,17.11,0.09,236.39911,1.83287
154535.87+014958.1,54213.34334,17.51,0.1,236.39942,1.83291
154535.87+014958.1,54213.35274,17.4,0.1,236.39927,1.83288
154535.87+014958.1,54213.36213,17.49,0.1,236.39951,1.83292
154535.87+014958.1,54213.37151,17.41,0.1,236.39949,1.83293
154535.87+014958.1,54256.21909,17.22,0.11,236.39938,1.83303
154535.87+014958.1,54256.22553,17.54,0.14,236.3995,1.83295
154535.87+014958.1,54256.23201,17.1,0.13,236.3996,1.83255
154535.87+014958.1,54256.23843,17.52,0.14,236.39943,1.8329
154535.87+014958.1,54263.29452,17.6,0.11,236.39939,1.83271
154535.87+014958.1,54263.29987,17.25,0.09,236.3993,1.83288
154535.87+014958.1,54263.30524,17.31,0.1,236.39941,1.83305
154535.87+014958.1,54263.31059,17.46,0.1,236.39942,1.83289
154535.87+014958.1,54269.22705,17.48,0.1,236.3994,1.83286
154535.87+014958.1,54269.23557,17.4,0.1,236.39943,1.8329
154535.87+014958.1,54269.24408,17.3,0.09,236.39938,1.83276
154535.87+014958.1,54269.25261,17.47,0.1,236.39945,1.83288
154535.87+014958.1,54175.45776,17.36,0.09,236.39943,1.83311
154535.87+014958.1,54175.46492,17.43,0.1,236.39936,1.83302
154535.87+014958.1,54175.47202,17.38,0.09,236.39941,1.83278
154535.87+014958.1,54175.4791,17.41,0.09,236.3995,1.83293
154535.87+014958.1,54229.40978,17.37,0.1,236.39948,1.83285
154535.87+014958.1,54229.41855,17.43,0.1,236.39949,1.83279
154535.87+014958.1,54229.42733,17.41,0.1,236.39946,1.83281
154535.87+014958.1,54229.43609,17.26,0.09,236.39934,1.83282
154535.87+014958.1,54239.31473,17.44,0.1,236.3994,1.83286
154535.87+014958.1,54239.32556,17.29,0.1,236.39931,1.83284
154535.87+014958.1,54239.33645,17.44,0.1,236.39928,1.83291
154535.87+014958.1,54239.34732,17.35,0.1,236.39925,1.83293
154535.87+014958.1,54246.30679,17.44,0.1,236.39928,1.83277
154535.87+014958.1,54246.31659,17.59,0.1,236.39928,1.83285
154535.87+014958.1,54246.32641,17.28,0.09,236.39943,1.83293
154535.87+014958.1,54246.33618,17.43,0.1,236.39943,1.83295
154535.87+014958.1,54567.40073,17.37,0.09,236.39942,1.83282
154535.87+014958.1,54567.40507,17.35,0.09,236.39931,1.83299
154535.87+014958.1,54567.40942,17.38,0.09,236.39949,1.83288
154535.87+014958.1,54567.41373,17.26,0.09,236.39947,1.83296
154535.87+014958.1,54572.45695,17.42,0.1,236.39946,1.83283
154535.87+014958.1,54572.46338,17.31,0.09,236.39944,1.83304
154535.87+014958.1,54572.4698,17.32,0.1,236.39936,1.83298
154535.87+014958.1,54572.47624,17.66,0.11,236.39952,1.83276
154535.87+014958.1,54506.50281,17.44,0.09,236.39946,1.83291
154535.87+014958.1,54506.51035,17.37,0.09,236.39932,1.8329
154535.87+014958.1,54506.51861,17.35,0.09,236.39938,1.83284
154535.87+014958.1,54506.5268,17.4,0.09,236.39932,1.83292
154535.87+014958.1,54510.51004,17.36,0.09,236.39936,1.8328
154535.87+014958.1,54510.51651,17.33,0.09,236.39929,1.83283
154535.87+014958.1,54510.523,17.56,0.1,236.39953,1.83279
154535.87+014958.1,54510.52948,17.45,0.1,236.3994,1.8329
154535.87+014958.1,54476.51883,17.43,0.11,236.39929,1.83281
154535.87+014958.1,54476.5232,17.36,0.11,236.39947,1.83294
154535.87+014958.1,54476.52748,17.34,0.11,236.39952,1.833
154535.87+014958.1,54476.53174,17.57,0.12,236.39937,1.83289
154535.87+014958.1,54648.19533,17.3,0.09,236.39944,1.83287
154535.87+014958.1,54648.20031,17.43,0.1,236.3993,1.83285
154535.87+014958.1,54648.20528,17.3,0.1,236.39944,1.83296
154535.87+014958.1,54648.21031,17.47,0.1,236.39947,1.83281
154535.87+014958.1,54529.49687,17.36,0.09,236.39932,1.83286
154535.87+014958.1,54529.50573,17.38,0.09,236.39944,1.83281
154535.87+014958.1,54529.51466,17.42,0.09,236.39939,1.83291
154535.87+014958.1,54529.52339,17.28,0.09,236.39921,1.83289
154535.87+014958.1,54555.42645,17.35,0.09,236.39943,1.83293
154535.87+014958.1,54555.43354,17.35,0.09,236.39927,1.8328
154535.87+014958.1,54555.44061,17.36,0.09,236.39932,1.83276
154535.87+014958.1,54555.44773,17.55,0.1,236.39935,1.83288
154535.87+014958.1,54600.31247,17.42,0.1,236.39938,1.83295
154535.87+014958.1,54600.31899,17.33,0.09,236.39942,1.83291
154535.87+014958.1,54600.32549,17.35,0.09,236.3994,1.83299
154535.87+014958.1,54600.33198,17.42,0.1,236.3996,1.83292
154535.87+014958.1,54937.3993,17.37,0.1,236.39936,1.8328
154535.87+014958.1,54937.40412,17.3,0.09,236.39924,1.83286
154535.87+014958.1,54937.40901,17.36,0.09,236.39926,1.83281
154535.87+014958.1,54937.41367,17.61,0.1,236.39929,1.83282
154535.87+014958.1,54945.40992,17.45,0.1,236.39934,1.83292
154535.87+014958.1,55062.18855,17.19,0.11,236.39959,1.83282
154535.87+014958.1,55062.1945,17.44,0.12,236.39949,1.83277
154535.87+014958.1,55062.20022,17.34,0.11,236.39949,1.83314
154535.87+014958.1,55062.20599,17.69,0.13,236.3993,1.83305
154535.87+014958.1,54863.51398,17.39,0.1,236.39939,1.83297
154535.87+014958.1,54863.51888,17.36,0.1,236.39948,1.83296
154535.87+014958.1,54863.52359,17.45,0.1,236.39947,1.83296
154535.87+014958.1,54863.52839,17.41,0.1,236.39933,1.83284
