MJD,m,dm,F,source_name,RA,DEC
60285.461711,22.23,2.2,c,075005.28+292944.3,117.522012,29.495662
60285.496081,20.317,0.351,c,075005.28+292944.3,117.522012,29.495662
60287.501565,20.32,0.403,c,075005.28+292944.3,117.522012,29.495662
60287.515084,21.142,0.88,c,075005.28+292944.3,117.522012,29.495662
60287.534321,19.992,0.26,c,075005.28+292944.3,117.522012,29.495662
60287.537367,20.4,0.536,o,075005.28+292944.3,117.522012,29.495662
60287.539131,20.534,0.545,o,075005.28+292944.3,117.522012,29.495662
60288.582656,21.196,0.93,o,075005.28+292944.3,117.522012,29.495662
60288.585537,21.295,1.286,o,075005.28+292944.3,117.522012,29.495662
60288.619406,21.714,1.854,o,075005.28+292944.3,117.522012,29.495662
60288.624022,20.407,0.571,o,075005.28+292944.3,117.522012,29.495662
60289.494281,22.054,2.6,c,075005.28+292944.3,117.522012,29.495662
60289.495637,20.321,0.463,c,075005.28+292944.3,117.522012,29.495662
60289.496089,20.713,0.823,c,075005.28+292944.3,117.522012,29.495662
60289.498875,20.605,0.545,c,075005.28+292944.3,117.522012,29.495662
60289.508047,20.387,0.674,c,075005.28+292944.3,117.522012,29.495662
60289.531592,20.994,1.511,c,075005.28+292944.3,117.522012,29.495662
60289.536965,20.12,0.663,c,075005.28+292944.3,117.522012,29.495662
60290.483923,20.641,0.602,c,075005.28+292944.3,117.522012,29.495662
60290.485731,21.766,1.469,c,075005.28+292944.3,117.522012,29.495662
60290.488895,23.054,5.9,c,075005.28+292944.3,117.522012,29.495662
60290.511991,23.155,6.167,c,075005.28+292944.3,117.522012,29.495662
60291.575907,20.624,0.536,o,075005.28+292944.3,117.522012,29.495662
60291.611249,20.774,0.618,o,075005.28+292944.3,117.522012,29.495662
60291.616705,20.273,0.318,o,075005.28+292944.3,117.522012,29.495662
60292.493185,20.819,0.687,o,075005.28+292944.3,117.522012,29.495662
60292.496747,21.86,1.564,o,075005.28+292944.3,117.522012,29.495662
60292.512307,21.629,1.377,o,075005.28+292944.3,117.522012,29.495662
60292.514142,20.317,0.445,o,075005.28+292944.3,117.522012,29.495662
60292.535848,20.122,0.306,o,075005.28+292944.3,117.522012,29.495662
60292.536833,19.518,0.189,o,075005.28+292944.3,117.522012,29.495662
60292.539902,21.861,2.375,o,075005.28+292944.3,117.522012,29.495662
60293.487111,21.717,1.756,c,075005.28+292944.3,117.522012,29.495662
60293.515928,19.755,0.32,c,075005.28+292944.3,117.522012,29.495662
60293.542821,22.554,3.318,c,075005.28+292944.3,117.522012,29.495662
60294.468063,23.586,8.0,c,075005.28+292944.3,117.522012,29.495662
60294.470323,23.506,6.2,c,075005.28+292944.3,117.522012,29.495662
60294.475867,23.278,6.0,c,075005.28+292944.3,117.522012,29.495662
60295.532833,20.075,0.301,o,075005.28+292944.3,117.522012,29.495662
60295.586474,20.756,0.63,o,075005.28+292944.3,117.522012,29.495662
60295.61176,19.909,0.306,o,075005.28+292944.3,117.522012,29.495662
60302.422012,22.341,5.452,o,075005.28+292944.3,117.522012,29.495662
60302.431055,19.766,0.435,o,075005.28+292944.3,117.522012,29.495662
60310.486004,20.526,0.569,o,075005.28+292944.3,117.522012,29.495662
60310.489136,21.589,1.566,o,075005.28+292944.3,117.522012,29.495662
60310.521869,21.266,1.241,o,075005.28+292944.3,117.522012,29.495662
60310.52698,21.717,1.638,o,075005.28+292944.3,117.522012,29.495662
60311.487457,19.7,0.288,o,075005.28+292944.3,117.522012,29.495662
60311.491154,20.646,0.586,o,075005.28+292944.3,117.522012,29.495662
60311.496695,21.817,1.538,o,075005.28+292944.3,117.522012,29.495662
60311.522966,20.755,0.796,o,075005.28+292944.3,117.522012,29.495662
60312.428078,20.388,0.437,o,075005.28+292944.3,117.522012,29.495662
60312.430165,21.327,1.128,o,075005.28+292944.3,117.522012,29.495662
60312.433397,21.68,1.196,o,075005.28+292944.3,117.522012,29.495662
60313.425969,26.032,146.0,o,075005.28+292944.3,117.522012,29.495662
60313.436641,19.86,0.519,o,075005.28+292944.3,117.522012,29.495662
60314.523375,21.9,1.846,o,075005.28+292944.3,117.522012,29.495662
60314.53058,20.646,0.677,o,075005.28+292944.3,117.522012,29.495662
60314.540699,20.242,0.389,o,075005.28+292944.3,117.522012,29.495662
60315.463512,20.456,0.431,o,075005.28+292944.3,117.522012,29.495662
60315.496901,20.756,0.496,o,075005.28+292944.3,117.522012,29.495662
60315.507365,25.176,34.0,o,075005.28+292944.3,117.522012,29.495662
60316.431259,20.437,0.457,o,075005.28+292944.3,117.522012,29.495662
60316.434488,19.915,0.27,o,075005.28+292944.3,117.522012,29.495662
60316.455645,20.961,0.783,o,075005.28+292944.3,117.522012,29.495662
60316.483118,22.313,3.087,o,075005.28+292944.3,117.522012,29.495662
60317.456795,20.39,0.493,o,075005.28+292944.3,117.522012,29.495662
60317.460083,20.693,0.735,o,075005.28+292944.3,117.522012,29.495662
60317.46752,20.354,0.473,o,075005.28+292944.3,117.522012,29.495662
60317.520987,19.689,0.281,o,075005.28+292944.3,117.522012,29.495662
60317.527017,19.688,0.484,o,075005.28+292944.3,117.522012,29.495662
60317.55166,20.127,0.422,o,075005.28+292944.3,117.522012,29.495662
60317.595627,16.821,1.069,o,075005.28+292944.3,117.522012,29.495662
60319.55439,20.519,0.539,o,075005.28+292944.3,117.522012,29.495662
60319.557829,22.767,3.87,o,075005.28+292944.3,117.522012,29.495662
60319.643981,19.916,0.51,o,075005.28+292944.3,117.522012,29.495662
60320.447197,20.335,0.596,o,075005.28+292944.3,117.522012,29.495662
60320.480179,23.127,6.455,o,075005.28+292944.3,117.522012,29.495662
60320.509279,20.498,0.563,o,075005.28+292944.3,117.522012,29.495662
60323.441139,21.859,1.438,o,075005.28+292944.3,117.522012,29.495662
60323.473811,22.917,3.737,o,075005.28+292944.3,117.522012,29.495662
60323.495358,20.702,0.549,o,075005.28+292944.3,117.522012,29.495662
60324.511347,21.55,1.306,o,075005.28+292944.3,117.522012,29.495662
60325.529167,22.176,4.333,o,075005.28+292944.3,117.522012,29.495662
60327.387397,23.864,11.286,o,075005.28+292944.3,117.522012,29.495662
60328.405111,22.724,3.545,o,075005.28+292944.3,117.522012,29.495662
60328.40696,21.105,0.878,o,075005.28+292944.3,117.522012,29.495662
60328.430846,20.751,0.72,o,075005.28+292944.3,117.522012,29.495662
60329.376788,22.516,4.281,o,075005.28+292944.3,117.522012,29.495662
60329.38809,20.348,0.549,o,075005.28+292944.3,117.522012,29.495662
60330.385063,22.619,4.967,o,075005.28+292944.3,117.522012,29.495662
60331.368107,21.735,2.695,o,075005.28+292944.3,117.522012,29.495662
60331.373651,19.733,0.444,o,075005.28+292944.3,117.522012,29.495662
60337.448196,20.419,0.667,o,075005.28+292944.3,117.522012,29.495662
60337.451826,21.929,2.618,o,075005.28+292944.3,117.522012,29.495662
60337.45725,21.781,2.875,o,075005.28+292944.3,117.522012,29.495662
60337.469065,21.579,2.0,o,075005.28+292944.3,117.522012,29.495662
60338.434349,21.387,1.48,o,075005.28+292944.3,117.522012,29.495662
60338.438688,20.844,1.09,o,075005.28+292944.3,117.522012,29.495662
60338.444702,21.516,1.985,o,075005.28+292944.3,117.522012,29.495662
60338.447873,21.303,1.59,o,075005.28+292944.3,117.522012,29.495662
60338.451043,20.071,0.576,o,075005.28+292944.3,117.522012,29.495662
60338.454805,22.108,2.87,o,075005.28+292944.3,117.522012,29.495662
60338.457071,20.777,0.984,o,075005.28+292944.3,117.522012,29.495662
60339.420831,21.296,1.083,o,075005.28+292944.3,117.522012,29.495662
60339.453193,20.247,0.472,o,075005.28+292944.3,117.522012,29.495662
60339.454117,20.536,0.579,o,075005.28+292944.3,117.522012,29.495662
60339.45689,20.213,0.398,o,075005.28+292944.3,117.522012,29.495662
60339.458848,25.058,36.333,o,075005.28+292944.3,117.522012,29.495662
60339.462084,20.801,0.781,o,075005.28+292944.3,117.522012,29.495662
60339.472274,21.658,1.812,o,075005.28+292944.3,117.522012,29.495662
60340.41911,20.791,0.702,o,075005.28+292944.3,117.522012,29.495662
60340.438905,19.71,0.244,o,075005.28+292944.3,117.522012,29.495662
60341.405816,20.643,0.615,o,075005.28+292944.3,117.522012,29.495662
60341.415172,21.376,1.141,o,075005.28+292944.3,117.522012,29.495662
60341.42573,21.89,1.561,o,075005.28+292944.3,117.522012,29.495662
60343.409056,20.447,0.482,o,075005.28+292944.3,117.522012,29.495662
60343.412753,22.02,1.878,o,075005.28+292944.3,117.522012,29.495662
60343.419221,21.002,0.73,o,075005.28+292944.3,117.522012,29.495662
60344.398042,21.117,0.713,o,075005.28+292944.3,117.522012,29.495662
60344.401736,20.93,0.591,o,075005.28+292944.3,117.522012,29.495662
60344.417633,23.876,11.0,o,075005.28+292944.3,117.522012,29.495662
60345.385394,21.178,1.031,c,075005.28+292944.3,117.522012,29.495662
60346.394708,20.481,0.549,c,075005.28+292944.3,117.522012,29.495662
60346.409289,22.064,2.618,c,075005.28+292944.3,117.522012,29.495662
60349.387536,20.771,0.664,c,075005.28+292944.3,117.522012,29.495662
60350.40065,20.566,0.544,c,075005.28+292944.3,117.522012,29.495662
60353.399483,20.832,0.663,c,075005.28+292944.3,117.522012,29.495662
60353.408286,21.089,0.896,c,075005.28+292944.3,117.522012,29.495662
60353.443986,24.974,36.5,c,075005.28+292944.3,117.522012,29.495662
60354.374516,20.712,0.563,c,075005.28+292944.3,117.522012,29.495662
60354.383279,21.938,1.667,c,075005.28+292944.3,117.522012,29.495662
60357.532079,23.158,6.182,c,075005.28+292944.3,117.522012,29.495662
60358.336544,22.129,3.319,o,075005.28+292944.3,117.522012,29.495662
60365.388764,19.539,0.402,o,075005.28+292944.3,117.522012,29.495662
60365.399437,18.772,0.401,o,075005.28+292944.3,117.522012,29.495662
60366.369667,18.93,0.269,o,075005.28+292944.3,117.522012,29.495662
60366.372892,20.048,0.531,o,075005.28+292944.3,117.522012,29.495662
60366.379365,20.439,0.926,o,075005.28+292944.3,117.522012,29.495662
60366.389389,21.553,2.793,o,075005.28+292944.3,117.522012,29.495662
60366.392555,21.011,2.288,o,075005.28+292944.3,117.522012,29.495662
60366.402331,21.601,4.333,o,075005.28+292944.3,117.522012,29.495662
60368.366888,20.025,0.431,o,075005.28+292944.3,117.522012,29.495662
60368.377062,20.913,0.78,o,075005.28+292944.3,117.522012,29.495662
60368.380297,21.253,1.31,o,075005.28+292944.3,117.522012,29.495662
60368.385611,20.887,0.92,o,075005.28+292944.3,117.522012,29.495662
60370.363205,20.158,0.385,o,075005.28+292944.3,117.522012,29.495662
60370.366409,20.166,0.492,o,075005.28+292944.3,117.522012,29.495662
60370.371969,22.61,3.586,o,075005.28+292944.3,117.522012,29.495662
60370.396672,21.348,1.188,o,075005.28+292944.3,117.522012,29.495662
60371.379192,23.564,8.2,o,075005.28+292944.3,117.522012,29.495662
60371.382427,20.655,0.605,o,075005.28+292944.3,117.522012,29.495662
60375.478377,20.493,0.579,o,075005.28+292944.3,117.522012,29.495662
60375.495526,20.528,0.697,o,075005.28+292944.3,117.522012,29.495662
60383.357613,20.131,0.405,o,075005.28+292944.3,117.522012,29.495662
60384.307374,17.366,0.029,o,075005.28+292944.3,117.522012,29.495662
60384.310608,21.096,0.829,o,075005.28+292944.3,117.522012,29.495662
60384.316154,20.511,0.485,o,075005.28+292944.3,117.522012,29.495662
60384.32653,20.64,0.55,o,075005.28+292944.3,117.522012,29.495662
60386.314356,19.862,0.35,o,075005.28+292944.3,117.522012,29.495662
60391.334949,21.201,1.865,o,075005.28+292944.3,117.522012,29.495662
60391.338293,20.278,0.804,o,075005.28+292944.3,117.522012,29.495662
60391.343991,20.234,0.925,o,075005.28+292944.3,117.522012,29.495662
60391.354415,20.207,0.869,o,075005.28+292944.3,117.522012,29.495662
60392.333681,20.245,0.814,o,075005.28+292944.3,117.522012,29.495662
60392.336921,20.604,1.086,o,075005.28+292944.3,117.522012,29.495662
60392.342108,20.238,0.772,o,075005.28+292944.3,117.522012,29.495662
60393.320881,19.684,0.554,o,075005.28+292944.3,117.522012,29.495662
60393.326835,23.036,13.462,o,075005.28+292944.3,117.522012,29.495662
60394.324641,20.363,1.213,o,075005.28+292944.3,117.522012,29.495662
60394.328271,19.58,0.381,o,075005.28+292944.3,117.522012,29.495662
60394.334404,19.881,0.655,o,075005.28+292944.3,117.522012,29.495662
60396.371114,21.148,1.271,o,075005.28+292944.3,117.522012,29.495662
60396.374353,20.249,0.641,o,075005.28+292944.3,117.522012,29.495662
60396.381554,20.584,0.848,o,075005.28+292944.3,117.522012,29.495662
60396.392653,20.228,0.661,o,075005.28+292944.3,117.522012,29.495662
60397.301498,24.784,37.667,o,075005.28+292944.3,117.522012,29.495662
60397.304723,21.051,1.268,o,075005.28+292944.3,117.522012,29.495662
60397.311562,21.651,2.647,o,075005.28+292944.3,117.522012,29.495662
60397.32249,21.632,2.537,o,075005.28+292944.3,117.522012,29.495662
60398.301541,19.398,0.205,o,075005.28+292944.3,117.522012,29.495662
60398.30471,20.844,0.773,o,075005.28+292944.3,117.522012,29.495662
60398.31061,20.355,0.569,o,075005.28+292944.3,117.522012,29.495662
60398.320778,20.321,0.538,o,075005.28+292944.3,117.522012,29.495662
60399.308679,20.497,0.568,o,075005.28+292944.3,117.522012,29.495662
60399.311913,21.672,1.217,o,075005.28+292944.3,117.522012,29.495662
60399.322058,21.972,1.694,o,075005.28+292944.3,117.522012,29.495662
60399.327216,20.161,0.331,o,075005.28+292944.3,117.522012,29.495662
60400.341452,21.501,1.84,o,075005.28+292944.3,117.522012,29.495662
60400.349622,19.55,0.403,o,075005.28+292944.3,117.522012,29.495662
60401.334061,25.113,37.5,c,075005.28+292944.3,117.522012,29.495662
60401.337701,21.613,2.0,c,075005.28+292944.3,117.522012,29.495662
60401.356737,21.088,0.976,c,075005.28+292944.3,117.522012,29.495662
60404.25837,22.018,1.482,o,075005.28+292944.3,117.522012,29.495662
60404.273711,20.822,0.458,o,075005.28+292944.3,117.522012,29.495662
60410.281465,20.867,0.636,o,075005.28+292944.3,117.522012,29.495662
60410.295256,21.364,1.039,o,075005.28+292944.3,117.522012,29.495662
60410.309052,21.544,1.164,o,075005.28+292944.3,117.522012,29.495662
60417.262753,19.411,0.518,o,075005.28+292944.3,117.522012,29.495662
60418.270247,20.389,0.825,o,075005.28+292944.3,117.522012,29.495662
60418.275371,22.603,6.28,o,075005.28+292944.3,117.522012,29.495662
60418.279038,21.043,1.891,o,075005.28+292944.3,117.522012,29.495662
60421.301457,21.866,3.732,o,075005.28+292944.3,117.522012,29.495662
60421.304718,21.521,2.397,o,075005.28+292944.3,117.522012,29.495662
60421.321768,20.362,1.052,o,075005.28+292944.3,117.522012,29.495662
60422.273404,20.441,0.995,o,075005.28+292944.3,117.522012,29.495662
60422.27703,20.529,0.965,o,075005.28+292944.3,117.522012,29.495662
60422.282479,20.812,1.275,o,075005.28+292944.3,117.522012,29.495662
60422.295069,24.872,53.333,o,075005.28+292944.3,117.522012,29.495662
60425.358844,22.081,9.0,o,075005.28+292944.3,117.522012,29.495662
60426.308802,21.849,3.775,o,075005.28+292944.3,117.522012,29.495662
60429.327102,20.826,3.075,o,075005.28+292944.3,117.522012,29.495662
60429.350726,19.13,1.472,o,075005.28+292944.3,117.522012,29.495662
60431.289492,21.679,1.797,o,075005.28+292944.3,117.522012,29.495662
60431.307481,20.757,0.646,o,075005.28+292944.3,117.522012,29.495662
60432.259307,20.039,0.365,o,075005.28+292944.3,117.522012,29.495662
60432.269129,21.118,1.032,o,075005.28+292944.3,117.522012,29.495662
60433.252691,24.573,30.5,o,075005.28+292944.3,117.522012,29.495662
60433.255855,22.285,4.0,o,075005.28+292944.3,117.522012,29.495662
60433.271339,20.236,0.607,o,075005.28+292944.3,117.522012,29.495662
60434.294793,21.103,1.95,o,075005.28+292944.3,117.522012,29.495662
60434.311446,20.48,0.852,o,075005.28+292944.3,117.522012,29.495662
60437.254568,21.219,1.142,o,075005.28+292944.3,117.522012,29.495662
60437.257734,21.983,2.821,o,075005.28+292944.3,117.522012,29.495662
60437.273701,20.935,0.917,o,075005.28+292944.3,117.522012,29.495662
60438.248065,21.728,1.945,o,075005.28+292944.3,117.522012,29.495662
60438.256208,20.359,0.7,o,075005.28+292944.3,117.522012,29.495662
60438.257111,21.756,2.059,o,075005.28+292944.3,117.522012,29.495662
60438.259373,20.528,0.855,o,075005.28+292944.3,117.522012,29.495662
60438.277954,19.729,0.414,o,075005.28+292944.3,117.522012,29.495662
60446.245436,21.751,4.86,o,075005.28+292944.3,117.522012,29.495662
60446.2486,19.572,0.526,o,075005.28+292944.3,117.522012,29.495662
60447.288917,19.605,0.45,o,075005.28+292944.3,117.522012,29.495662
60447.294466,19.415,0.424,o,075005.28+292944.3,117.522012,29.495662
60447.305356,21.743,3.488,o,075005.28+292944.3,117.522012,29.495662
60451.249017,21.008,3.542,o,075005.28+292944.3,117.522012,29.495662
60451.252255,20.001,0.673,o,075005.28+292944.3,117.522012,29.495662
60451.269655,19.752,0.591,o,075005.28+292944.3,117.522012,29.495662
60452.273592,19.844,0.646,o,075005.28+292944.3,117.522012,29.495662
60453.249762,16.937,1.339,o,075005.28+292944.3,117.522012,29.495662
60453.256093,16.793,0.706,o,075005.28+292944.3,117.522012,29.495662
60562.610527,22.114,2.154,o,075005.28+292944.3,117.522012,29.495662
60562.620391,21.229,1.299,o,075005.28+292944.3,117.522012,29.495662
60562.636225,18.971,0.571,o,075005.28+292944.3,117.522012,29.495662
60572.587541,21.962,4.842,o,075005.28+292944.3,117.522012,29.495662
60572.614382,19.855,0.614,o,075005.28+292944.3,117.522012,29.495662
60578.617926,20.956,2.693,o,075005.28+292944.3,117.522012,29.495662
60581.603614,21.652,1.776,o,075005.28+292944.3,117.522012,29.495662
60581.606794,24.094,16.857,o,075005.28+292944.3,117.522012,29.495662
60581.628551,20.587,0.618,o,075005.28+292944.3,117.522012,29.495662
60582.590942,21.192,1.12,c,075005.28+292944.3,117.522012,29.495662
60584.593954,20.779,0.769,o,075005.28+292944.3,117.522012,29.495662
60584.597189,20.179,0.431,o,075005.28+292944.3,117.522012,29.495662
60584.602741,20.81,0.746,o,075005.28+292944.3,117.522012,29.495662
60584.623193,21.591,1.638,o,075005.28+292944.3,117.522012,29.495662
60586.585755,21.428,1.475,c,075005.28+292944.3,117.522012,29.495662
60586.589376,21.923,2.533,c,075005.28+292944.3,117.522012,29.495662
60586.607667,20.955,1.104,c,075005.28+292944.3,117.522012,29.495662
60589.581552,21.27,1.298,c,075005.28+292944.3,117.522012,29.495662
60589.596195,21.843,1.65,c,075005.28+292944.3,117.522012,29.495662
60589.604792,19.167,0.175,c,075005.28+292944.3,117.522012,29.495662
60590.590266,21.742,1.692,c,075005.28+292944.3,117.522012,29.495662
60590.597073,23.578,10.25,c,075005.28+292944.3,117.522012,29.495662
60591.599592,20.94,0.711,o,075005.28+292944.3,117.522012,29.495662
60591.615165,21.044,1.21,o,075005.28+292944.3,117.522012,29.495662
60591.62704,20.017,0.541,o,075005.28+292944.3,117.522012,29.495662
60593.579619,20.475,0.694,c,075005.28+292944.3,117.522012,29.495662
60593.588275,21.073,1.403,c,075005.28+292944.3,117.522012,29.495662
60598.598183,20.056,0.447,o,075005.28+292944.3,117.522012,29.495662
60598.601348,20.97,0.883,o,075005.28+292944.3,117.522012,29.495662
60598.609092,21.023,1.034,o,075005.28+292944.3,117.522012,29.495662
60598.628096,20.913,0.881,o,075005.28+292944.3,117.522012,29.495662
60600.558353,21.477,2.845,o,075005.28+292944.3,117.522012,29.495662
60600.58255,21.335,2.483,o,075005.28+292944.3,117.522012,29.495662
60601.529316,21.547,4.024,o,075005.28+292944.3,117.522012,29.495662
60601.546747,20.547,1.35,o,075005.28+292944.3,117.522012,29.495662
60603.529901,22.731,7.75,o,075005.28+292944.3,117.522012,29.495662
60603.533134,21.337,2.075,o,075005.28+292944.3,117.522012,29.495662
60603.548618,19.743,0.479,o,075005.28+292944.3,117.522012,29.495662
60608.575289,19.229,2.835,o,075005.28+292944.3,117.522012,29.495662
60608.577138,18.753,0.559,o,075005.28+292944.3,117.522012,29.495662
60608.593742,20.628,1.057,o,075005.28+292944.3,117.522012,29.495662
60613.552865,20.218,0.331,o,075005.28+292944.3,117.522012,29.495662
60613.554672,24.491,19.8,o,075005.28+292944.3,117.522012,29.495662
60613.561003,21.43,1.157,o,075005.28+292944.3,117.522012,29.495662
60615.559405,22.103,1.806,c,075005.28+292944.3,117.522012,29.495662
60615.561715,21.981,1.688,c,075005.28+292944.3,117.522012,29.495662
60615.564483,22.851,4.4,c,075005.28+292944.3,117.522012,29.495662
60615.569576,20.91,0.632,c,075005.28+292944.3,117.522012,29.495662
60615.649344,20.557,1.111,c,075005.28+292944.3,117.522012,29.495662
60616.55609,20.697,0.578,c,075005.28+292944.3,117.522012,29.495662
60616.559786,20.781,0.616,c,075005.28+292944.3,117.522012,29.495662
60616.560711,21.339,0.969,c,075005.28+292944.3,117.522012,29.495662
60616.562556,23.763,8.857,c,075005.28+292944.3,117.522012,29.495662
60616.564867,22.138,2.103,c,075005.28+292944.3,117.522012,29.495662
60616.570644,20.964,0.663,c,075005.28+292944.3,117.522012,29.495662
60616.580424,22.609,2.947,c,075005.28+292944.3,117.522012,29.495662
60617.555656,19.251,0.286,o,075005.28+292944.3,117.522012,29.495662
60617.565612,20.653,1.49,o,075005.28+292944.3,117.522012,29.495662
60620.62594,20.462,0.5,o,075005.28+292944.3,117.522012,29.495662
60625.460642,20.219,0.747,o,075005.28+292944.3,117.522012,29.495662
60626.518495,20.523,0.771,o,075005.28+292944.3,117.522012,29.495662
60626.52166,20.693,1.019,o,075005.28+292944.3,117.522012,29.495662
60626.536296,20.366,0.607,o,075005.28+292944.3,117.522012,29.495662
60629.493102,20.392,1.568,o,075005.28+292944.3,117.522012,29.495662
60629.500709,20.341,1.438,o,075005.28+292944.3,117.522012,29.495662
60629.505927,21.641,3.897,o,075005.28+292944.3,117.522012,29.495662
60630.52146,19.506,0.613,o,075005.28+292944.3,117.522012,29.495662
60630.538373,19.631,0.556,o,075005.28+292944.3,117.522012,29.495662
60635.60341,20.513,0.812,o,075005.28+292944.3,117.522012,29.495662
60635.642167,20.544,0.735,o,075005.28+292944.3,117.522012,29.495662
60635.654987,20.449,1.439,o,075005.28+292944.3,117.522012,29.495662
60637.545159,19.67,0.917,o,075005.28+292944.3,117.522012,29.495662
60637.546992,23.223,26.5,o,075005.28+292944.3,117.522012,29.495662
60637.550439,22.971,6.524,o,075005.28+292944.3,117.522012,29.495662
60638.510003,22.135,2.381,o,075005.28+292944.3,117.522012,29.495662
60638.513184,20.414,0.517,o,075005.28+292944.3,117.522012,29.495662
60638.51454,20.645,0.578,o,075005.28+292944.3,117.522012,29.495662
60638.516349,20.519,0.407,o,075005.28+292944.3,117.522012,29.495662
60638.528044,21.263,0.983,o,075005.28+292944.3,117.522012,29.495662
60638.533389,20.55,0.519,o,075005.28+292944.3,117.522012,29.495662
60641.501916,21.962,1.789,c,075005.28+292944.3,117.522012,29.495662
60641.503726,20.417,0.427,c,075005.28+292944.3,117.522012,29.495662
60641.515033,24.316,15.25,c,075005.28+292944.3,117.522012,29.495662
60642.53623,21.242,1.118,c,075005.28+292944.3,117.522012,29.495662
60647.503359,21.223,0.929,o,075005.28+292944.3,117.522012,29.495662
60647.529936,20.859,0.661,o,075005.28+292944.3,117.522012,29.495662
60648.514886,21.958,1.348,o,075005.28+292944.3,117.522012,29.495662
60648.51673,20.641,0.512,o,075005.28+292944.3,117.522012,29.495662
60648.521662,21.726,1.333,o,075005.28+292944.3,117.522012,29.495662
60648.52671,21.498,1.0,o,075005.28+292944.3,117.522012,29.495662
60651.471262,20.71,0.589,o,075005.28+292944.3,117.522012,29.495662
60652.514237,21.081,0.789,o,075005.28+292944.3,117.522012,29.495662
60653.484856,22.745,3.722,c,075005.28+292944.3,117.522012,29.495662
60653.491442,22.434,2.792,c,075005.28+292944.3,117.522012,29.495662
60655.316854,20.992,2.282,o,075005.28+292944.3,117.522012,29.495662
60655.320655,19.433,0.559,o,075005.28+292944.3,117.522012,29.495662
60655.376481,19.523,0.325,o,075005.28+292944.3,117.522012,29.495662
60656.427627,19.524,0.822,o,075005.28+292944.3,117.522012,29.495662
60656.430412,21.128,2.072,o,075005.28+292944.3,117.522012,29.495662
60656.439011,20.644,1.077,o,075005.28+292944.3,117.522012,29.495662
60664.529582,20.219,0.456,o,075005.28+292944.3,117.522012,29.495662
60664.532817,19.947,0.404,o,075005.28+292944.3,117.522012,29.495662
60664.54263,21.972,2.457,o,075005.28+292944.3,117.522012,29.495662
60664.552429,20.884,0.908,o,075005.28+292944.3,117.522012,29.495662
60665.452419,20.662,0.623,o,075005.28+292944.3,117.522012,29.495662
60665.455238,20.019,0.38,o,075005.28+292944.3,117.522012,29.495662
60666.457498,21.458,1.436,o,075005.28+292944.3,117.522012,29.495662
60666.459766,22.933,5.2,o,075005.28+292944.3,117.522012,29.495662
60666.486824,20.832,0.968,o,075005.28+292944.3,117.522012,29.495662
60667.524483,20.922,0.991,o,075005.28+292944.3,117.522012,29.495662
60667.52544,20.954,0.876,o,075005.28+292944.3,117.522012,29.495662
60667.527278,21.032,0.874,o,075005.28+292944.3,117.522012,29.495662
60667.528658,20.279,0.552,o,075005.28+292944.3,117.522012,29.495662
60667.555629,22.574,3.731,o,075005.28+292944.3,117.522012,29.495662
60667.560878,20.089,0.495,o,075005.28+292944.3,117.522012,29.495662
60668.455383,22.847,5.0,o,075005.28+292944.3,117.522012,29.495662
60668.458611,23.207,5.5,o,075005.28+292944.3,117.522012,29.495662
60668.487493,22.468,2.84,o,075005.28+292944.3,117.522012,29.495662
60669.464086,21.86,1.909,o,075005.28+292944.3,117.522012,29.495662
60670.434697,20.679,0.696,o,075005.28+292944.3,117.522012,29.495662
60670.473987,20.056,0.341,o,075005.28+292944.3,117.522012,29.495662
60673.435633,22.462,3.241,o,075005.28+292944.3,117.522012,29.495662
60673.463287,20.65,0.591,o,075005.28+292944.3,117.522012,29.495662
60675.538286,22.694,3.125,o,075005.28+292944.3,117.522012,29.495662
60675.612127,20.887,0.643,o,075005.28+292944.3,117.522012,29.495662
60676.518681,22.429,2.607,o,075005.28+292944.3,117.522012,29.495662
60677.421269,22.558,3.24,o,075005.28+292944.3,117.522012,29.495662
60677.424115,20.615,0.781,o,075005.28+292944.3,117.522012,29.495662
60678.425947,20.86,0.676,o,075005.28+292944.3,117.522012,29.495662
60678.429121,20.945,0.685,o,075005.28+292944.3,117.522012,29.495662
60678.438769,23.048,4.444,o,075005.28+292944.3,117.522012,29.495662
60679.447105,21.422,1.745,o,075005.28+292944.3,117.522012,29.495662
60680.489584,21.655,1.426,o,075005.28+292944.3,117.522012,29.495662
60680.492838,22.016,1.975,o,075005.28+292944.3,117.522012,29.495662
60680.528642,21.75,1.554,o,075005.28+292944.3,117.522012,29.495662
60680.534714,20.745,0.635,o,075005.28+292944.3,117.522012,29.495662
60681.508043,21.957,1.788,o,075005.28+292944.3,117.522012,29.495662
60681.536746,22.037,2.298,o,075005.28+292944.3,117.522012,29.495662
60682.407463,21.38,1.232,o,075005.28+292944.3,117.522012,29.495662
60682.41076,22.891,4.783,o,075005.28+292944.3,117.522012,29.495662
60682.415506,21.732,1.667,o,075005.28+292944.3,117.522012,29.495662
60682.422766,22.345,3.324,o,075005.28+292944.3,117.522012,29.495662
60684.390182,20.895,0.968,o,075005.28+292944.3,117.522012,29.495662
60684.399608,20.794,0.945,o,075005.28+292944.3,117.522012,29.495662
60684.409381,21.322,1.5,o,075005.28+292944.3,117.522012,29.495662
60686.364645,21.263,3.333,o,075005.28+292944.3,117.522012,29.495662
60686.366908,19.502,0.558,o,075005.28+292944.3,117.522012,29.495662
