InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
152942.19+350851.3,1135069031784,18.27,0.13,232.42588,35.14774,54240.24172,0
152942.19+350851.3,1135069031784,18.30,0.13,232.42564,35.14751,54240.24998,0
152942.19+350851.3,1135069031784,18.22,0.13,232.42567,35.14759,54240.25839,0
152942.19+350851.3,1135069031784,18.39,0.14,232.42564,35.14773,54392.08890,0
152942.19+350851.3,1135069031784,18.26,0.14,232.42584,35.14770,54392.09228,0
152942.19+350851.3,1135069031784,18.34,0.14,232.42548,35.14776,54392.09566,0
152942.19+350851.3,1135069031784,18.30,0.14,232.42573,35.14755,54392.09903,0
152942.19+350851.3,1135069031784,18.25,0.11,232.42591,35.14768,54348.14868,0
152942.19+350851.3,1135069031784,18.37,0.12,232.42574,35.14770,54348.15658,0
152942.19+350851.3,1135069031784,18.25,0.11,232.42570,35.14765,54348.16463,0
152942.19+350851.3,1135069031784,18.14,0.11,232.42571,35.14773,54348.17287,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42573,35.14770,54559.44686,0
152942.19+350851.3,1135069031784,18.38,0.13,232.42554,35.14768,54559.45195,0
152942.19+350851.3,1135069031784,18.37,0.13,232.42581,35.14761,54559.45706,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42582,35.14768,54559.46219,0
152942.19+350851.3,1135069031784,18.34,0.12,232.42557,35.14761,54567.42086,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42578,35.14768,54567.42790,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42566,35.14762,54567.43499,0
152942.19+350851.3,1135069031784,18.54,0.13,232.42553,35.14772,54567.44204,0
152942.19+350851.3,1135069031784,18.34,0.13,232.42575,35.14731,54573.27058,0
152942.19+350851.3,1135069031784,18.51,0.13,232.42546,35.14775,54573.27817,0
152942.19+350851.3,1135069031784,18.45,0.13,232.42543,35.14786,54573.28576,0
152942.19+350851.3,1135069031784,18.52,0.13,232.42573,35.14766,54573.29334,0
152942.19+350851.3,1135069031784,18.24,0.12,232.42563,35.14769,54584.31331,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42564,35.14765,54584.31763,0
152942.19+350851.3,1135069031784,18.38,0.12,232.42591,35.14762,54584.32195,0
152942.19+350851.3,1135069031784,18.35,0.12,232.42563,35.14779,54584.32627,0
152942.19+350851.3,1135069031784,18.33,0.12,232.42560,35.14758,54508.46245,0
152942.19+350851.3,1135069031784,18.50,0.13,232.42570,35.14776,54508.46844,0
152942.19+350851.3,1135069031784,18.34,0.12,232.42577,35.14758,54508.47437,0
152942.19+350851.3,1135069031784,18.38,0.12,232.42575,35.14764,54508.48034,0
152942.19+350851.3,1135069031784,18.32,0.14,232.42582,35.14764,54525.37166,0
152942.19+350851.3,1135069031784,18.26,0.16,232.42581,35.14781,54525.37909,0
152942.19+350851.3,1135069031784,18.50,0.16,232.42555,35.14770,54525.38656,0
152942.19+350851.3,1135069031784,18.37,0.16,232.42565,35.14758,54525.39401,0
152942.19+350851.3,1135069031784,18.30,0.13,232.42551,35.14764,54640.32554,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42559,35.14747,54640.33204,0
152942.19+350851.3,1135069031784,18.46,0.13,232.42571,35.14756,54640.33861,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42573,35.14765,54640.34518,0
152942.19+350851.3,1135069031784,18.30,0.12,232.42579,35.14770,54531.39774,0
152942.19+350851.3,1135069031784,18.30,0.12,232.42567,35.14767,54531.40758,0
152942.19+350851.3,1135069031784,18.49,0.13,232.42570,35.14751,54531.41744,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42570,35.14761,54531.42726,0
152942.19+350851.3,1135069031784,18.35,0.12,232.42585,35.14761,54548.38578,0
152942.19+350851.3,1135069031784,18.59,0.14,232.42551,35.14760,54548.39200,0
152942.19+350851.3,1135069031784,18.47,0.13,232.42599,35.14783,54548.39815,0
152942.19+350851.3,1135069031784,18.53,0.13,232.42573,35.14756,54548.40432,0
152942.19+350851.3,1135069031784,18.40,0.13,232.42549,35.14782,54593.38623,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42565,35.14786,54593.39278,0
152942.19+350851.3,1135069031784,18.35,0.13,232.42567,35.14777,54593.39933,0
152942.19+350851.3,1135069031784,18.41,0.13,232.42573,35.14764,54593.40590,0
152942.19+350851.3,1135069031784,18.41,0.13,232.42588,35.14764,54600.27640,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42590,35.14775,54600.28357,0
152942.19+350851.3,1135069031784,18.21,0.12,232.42584,35.14793,54600.29074,0
152942.19+350851.3,1135069031784,18.37,0.13,232.42563,35.14777,54600.29791,0
152942.19+350851.3,1135069031784,18.32,0.15,232.42563,35.14786,54732.10215,0
152942.19+350851.3,1135069031784,18.22,0.14,232.42563,35.14770,54732.10739,0
152942.19+350851.3,1135069031784,18.29,0.15,232.42584,35.14761,54732.11305,0
152942.19+350851.3,1135069031784,18.32,0.15,232.42575,35.14777,54732.11833,0
152942.19+350851.3,1135069031784,18.24,0.12,232.42572,35.14774,54923.34000,0
152942.19+350851.3,1135069031784,18.18,0.12,232.42570,35.14769,54923.34649,0
152942.19+350851.3,1135069031784,18.08,0.11,232.42575,35.14782,54923.35306,0
152942.19+350851.3,1135069031784,18.17,0.12,232.42573,35.14755,54941.44572,0
152942.19+350851.3,1135069031784,18.01,0.11,232.42576,35.14773,54941.45114,0
152942.19+350851.3,1135069031784,18.21,0.12,232.42576,35.14766,54941.45653,0
152942.19+350851.3,1135069031784,18.21,0.12,232.42580,35.14755,54941.46180,0
152942.19+350851.3,1135069031784,18.19,0.14,232.42578,35.14764,55044.19187,0
152942.19+350851.3,1135069031784,18.30,0.15,232.42582,35.14743,55044.19783,0
152942.19+350851.3,1135069031784,18.42,0.16,232.42555,35.14764,55044.20380,0
152942.19+350851.3,1135069031784,18.10,0.14,232.42602,35.14775,55044.20977,0
152942.19+350851.3,1135069031784,18.28,0.13,232.42578,35.14756,54863.50011,0
152942.19+350851.3,1135069031784,18.23,0.13,232.42575,35.14767,54863.50488,0
152942.19+350851.3,1135069031784,18.37,0.14,232.42561,35.14767,54863.50958,0
152942.19+350851.3,1135069031784,18.07,0.13,232.42571,35.14747,55017.25658,0
152942.19+350851.3,1135069031784,18.13,0.14,232.42566,35.14768,55017.26348,0
152942.19+350851.3,1135069031784,18.28,0.15,232.42566,35.14776,55017.27036,0
152942.19+350851.3,1135069031784,18.25,0.15,232.42550,35.14759,55017.27716,0
152942.19+350851.3,1135069031784,18.35,0.12,232.42576,35.14779,54891.43311,0
152942.19+350851.3,1135069031784,18.08,0.11,232.42581,35.14757,54891.44048,0
152942.19+350851.3,1135069031784,18.25,0.12,232.42564,35.14772,54891.44787,0
152942.19+350851.3,1135069031784,18.25,0.12,232.42588,35.14767,54914.35688,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42585,35.14765,54914.36170,0
152942.19+350851.3,1135069031784,18.20,0.12,232.42568,35.14769,54914.36659,0
152942.19+350851.3,1135069031784,18.33,0.12,232.42554,35.14765,54914.37148,0
152942.19+350851.3,1135069031784,18.31,0.13,232.42558,35.14768,54954.39695,0
152942.19+350851.3,1135069031784,18.16,0.12,232.42573,35.14764,54954.41684,0
152942.19+350851.3,1135069031784,18.08,0.14,232.42576,35.14740,54955.30530,0
152942.19+350851.3,1135069031784,18.29,0.15,232.42572,35.14777,54955.31024,0
152942.19+350851.3,1135069031784,18.42,0.15,232.42557,35.14759,54955.31509,0
152942.19+350851.3,1135069031784,18.28,0.15,232.42570,35.14759,54955.32004,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42577,35.14761,54979.29633,0
152942.19+350851.3,1135069031784,18.29,0.12,232.42555,35.14768,54979.30368,0
152942.19+350851.3,1135069031784,18.18,0.12,232.42567,35.14758,54979.31099,0
152942.19+350851.3,1135069031784,18.27,0.12,232.42565,35.14766,54979.31825,0
152942.19+350851.3,1135069031784,18.33,0.13,232.42563,35.14775,55095.12523,0
152942.19+350851.3,1135069031784,18.24,0.13,232.42573,35.14771,55095.13064,0
152942.19+350851.3,1135069031784,18.27,0.13,232.42552,35.14778,55095.13591,0
152942.19+350851.3,1135069031784,18.30,0.13,232.42566,35.14763,55095.14142,0
152942.19+350851.3,1135069031784,18.25,0.12,232.42568,35.14753,55298.47412,0
