InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
083325.69+391204.7,1138037061290,17.87,0.11,128.35719,39.20131,53678.40604,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35695,39.20141,53678.41263,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35712,39.20129,53678.41924,0
083325.69+391204.7,1138037061290,18.06,0.12,128.35701,39.20133,53687.41469,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35704,39.20138,53687.42070,0
083325.69+391204.7,1138037061290,17.89,0.11,128.35720,39.20137,53687.42679,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35720,39.20133,53687.43298,0
083325.69+391204.7,1138037061290,18.01,0.12,128.35698,39.20154,53854.16383,0
083325.69+391204.7,1138037061290,17.88,0.11,128.35700,39.20138,53854.17034,0
083325.69+391204.7,1138037061290,18.10,0.12,128.35708,39.20137,53854.17682,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35712,39.20136,54089.32046,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35695,39.20130,54089.32767,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35705,39.20133,54089.33479,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35708,39.20148,54089.34199,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35706,39.20141,53770.19950,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35696,39.20143,53770.20674,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35701,39.20131,53770.21399,0
083325.69+391204.7,1138037061290,17.96,0.11,128.35698,39.20140,53770.22122,0
083325.69+391204.7,1138037061290,17.98,0.13,128.35709,39.20135,53788.12768,0
083325.69+391204.7,1138037061290,17.98,0.12,128.35714,39.20137,53788.13422,0
083325.69+391204.7,1138037061290,17.94,0.12,128.35710,39.20133,53788.14108,0
083325.69+391204.7,1138037061290,18.02,0.12,128.35696,39.20149,53788.14765,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35706,39.20135,53741.31444,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35696,39.20147,53741.32156,0
083325.69+391204.7,1138037061290,17.88,0.11,128.35705,39.20141,53757.29102,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35696,39.20147,53757.29814,0
083325.69+391204.7,1138037061290,17.81,0.11,128.35688,39.20138,53762.23154,0
083325.69+391204.7,1138037061290,17.80,0.11,128.35692,39.20126,53762.23801,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35709,39.20129,53762.25097,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35691,39.20139,53797.22852,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35701,39.20143,53797.23694,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35695,39.20147,53797.25330,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35692,39.20131,53819.16000,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35714,39.20133,53819.16640,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35700,39.20143,53819.17277,0
083325.69+391204.7,1138037061290,18.02,0.12,128.35706,39.20140,53819.17905,0
083325.69+391204.7,1138037061290,18.08,0.11,128.35712,39.20151,54059.38853,0
083325.69+391204.7,1138037061290,18.07,0.11,128.35698,39.20141,54059.39446,0
083325.69+391204.7,1138037061290,17.96,0.11,128.35713,39.20136,54059.40039,0
083325.69+391204.7,1138037061290,18.07,0.11,128.35699,39.20147,54059.40630,0
083325.69+391204.7,1138037061290,18.17,0.11,128.35709,39.20135,54035.42615,0
083325.69+391204.7,1138037061290,17.89,0.10,128.35713,39.20123,54035.43274,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35702,39.20140,54035.43929,0
083325.69+391204.7,1138037061290,17.96,0.11,128.35665,39.20139,54035.44584,0
083325.69+391204.7,1138037061290,18.19,0.12,128.35681,39.20140,54209.13700,0
083325.69+391204.7,1138037061290,18.12,0.12,128.35682,39.20140,54209.14402,0
083325.69+391204.7,1138037061290,17.82,0.10,128.35701,39.20141,54209.15100,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35691,39.20135,54209.15802,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35717,39.20149,54450.31723,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35707,39.20151,54450.32394,0
083325.69+391204.7,1138037061290,18.12,0.11,128.35689,39.20155,54450.33063,0
083325.69+391204.7,1138037061290,18.15,0.11,128.35702,39.20139,54450.33731,0
083325.69+391204.7,1138037061290,18.11,0.12,128.35695,39.20140,54156.17525,0
083325.69+391204.7,1138037061290,18.20,0.13,128.35712,39.20147,54156.18249,0
083325.69+391204.7,1138037061290,18.09,0.12,128.35701,39.20145,54156.19969,0
083325.69+391204.7,1138037061290,18.11,0.12,128.35681,39.20139,54156.20697,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35686,39.20144,54170.25012,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35713,39.20146,54170.25728,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35711,39.20142,54170.26439,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35696,39.20139,54170.27151,0
083325.69+391204.7,1138037061290,18.15,0.12,128.35707,39.20140,54176.10229,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35689,39.20148,54176.10992,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35698,39.20153,54176.11769,0
083325.69+391204.7,1138037061290,18.22,0.12,128.35696,39.20135,54176.12588,0
083325.69+391204.7,1138037061290,18.12,0.12,128.35698,39.20167,54237.13619,0
083325.69+391204.7,1138037061290,18.00,0.12,128.35707,39.20156,54237.14267,0
083325.69+391204.7,1138037061290,18.11,0.12,128.35703,39.20154,54237.14918,0
083325.69+391204.7,1138037061290,18.00,0.12,128.35713,39.20156,54237.15569,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35704,39.20145,54409.40966,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35715,39.20153,54409.42579,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35718,39.20146,54409.44197,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35713,39.20130,54409.45810,0
083325.69+391204.7,1138037061290,18.19,0.12,128.35707,39.20144,54416.34761,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35695,39.20143,54416.35478,0
083325.69+391204.7,1138037061290,18.09,0.11,128.35697,39.20148,54416.36201,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35710,39.20137,54416.36923,0
083325.69+391204.7,1138037061290,17.78,0.10,128.35683,39.20148,54424.42660,0
083325.69+391204.7,1138037061290,18.12,0.11,128.35711,39.20142,54424.43316,0
083325.69+391204.7,1138037061290,18.25,0.12,128.35697,39.20160,54424.43972,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35711,39.20142,54424.44623,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35696,39.20144,54382.45813,0
083325.69+391204.7,1138037061290,18.24,0.12,128.35705,39.20149,54382.46795,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35728,39.20158,54382.47776,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35704,39.20150,54382.48762,0
083325.69+391204.7,1138037061290,18.18,0.12,128.35709,39.20157,54364.47909,0
083325.69+391204.7,1138037061290,18.20,0.12,128.35703,39.20164,54364.48575,0
083325.69+391204.7,1138037061290,17.81,0.10,128.35692,39.20140,54557.18018,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35705,39.20147,54557.18919,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35685,39.20145,54557.19805,0
083325.69+391204.7,1138037061290,18.23,0.12,128.35709,39.20154,54557.20689,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35704,39.20146,54566.12711,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35706,39.20140,54566.13279,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35699,39.20135,54566.13829,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35703,39.20137,54566.14382,0
083325.69+391204.7,1138037061290,17.78,0.10,128.35723,39.20162,54572.18651,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35692,39.20137,54572.19532,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35698,39.20153,54572.20397,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35693,39.20161,54572.21262,0
083325.69+391204.7,1138037061290,18.22,0.12,128.35704,39.20149,54804.38242,0
083325.69+391204.7,1138037061290,18.14,0.11,128.35710,39.20142,54804.38908,0
083325.69+391204.7,1138037061290,18.24,0.13,128.35697,39.20159,54804.39585,0
083325.69+391204.7,1138037061290,18.11,0.13,128.35706,39.20137,54804.40252,0
083325.69+391204.7,1138037061290,18.08,0.12,128.35691,39.20143,54822.50024,0
083325.69+391204.7,1138037061290,18.14,0.12,128.35700,39.20146,54822.50623,0
083325.69+391204.7,1138037061290,18.04,0.12,128.35690,39.20139,54822.51229,0
083325.69+391204.7,1138037061290,18.06,0.12,128.35706,39.20142,54822.51841,0
083325.69+391204.7,1138037061290,18.11,0.11,128.35708,39.20139,54466.46353,0
083325.69+391204.7,1138037061290,18.17,0.12,128.35714,39.20148,54466.47129,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35693,39.20143,54466.47897,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35700,39.20140,54466.48668,0
083325.69+391204.7,1138037061290,18.16,0.13,128.35702,39.20142,54476.28646,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35708,39.20147,54476.29526,0
083325.69+391204.7,1138037061290,18.11,0.11,128.35712,39.20137,54476.30407,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35699,39.20140,54476.31295,0
083325.69+391204.7,1138037061290,18.10,0.11,128.35693,39.20137,54496.23699,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35701,39.20139,54496.24135,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35718,39.20139,54496.24696,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35699,39.20144,54496.25130,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35707,39.20143,54529.26472,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35692,39.20138,54529.27133,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35692,39.20115,54529.27792,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35688,39.20148,54529.28447,0
083325.69+391204.7,1138037061290,18.10,0.11,128.35692,39.20141,54534.23466,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35678,39.20129,54534.23953,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35706,39.20151,54534.24443,0
083325.69+391204.7,1138037061290,18.16,0.12,128.35699,39.20139,54534.24931,0
083325.69+391204.7,1138037061290,18.15,0.12,128.35723,39.20174,54778.35606,0
083325.69+391204.7,1138037061290,18.18,0.12,128.35681,39.20163,54778.36852,0
083325.69+391204.7,1138037061290,18.17,0.12,128.35687,39.20145,54778.38090,0
083325.69+391204.7,1138037061290,18.16,0.12,128.35702,39.20139,54778.39334,0
083325.69+391204.7,1138037061290,18.20,0.12,128.35709,39.20144,54791.35514,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35717,39.20144,54791.36242,0
083325.69+391204.7,1138037061290,18.27,0.12,128.35695,39.20147,54791.36966,0
083325.69+391204.7,1138037061290,18.13,0.12,128.35704,39.20135,54791.37693,0
083325.69+391204.7,1138037061290,18.17,0.12,128.35701,39.20145,54764.40763,0
083325.69+391204.7,1138037061290,18.18,0.12,128.35724,39.20148,54764.41504,0
083325.69+391204.7,1138037061290,18.07,0.11,128.35706,39.20145,54764.42238,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35725,39.20151,54764.42967,0
083325.69+391204.7,1138037061290,18.11,0.11,128.35758,39.20153,54738.48759,0
083325.69+391204.7,1138037061290,18.13,0.11,128.35707,39.20145,54738.49250,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35705,39.20144,54738.49740,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35694,39.20147,54738.50241,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35697,39.20147,54942.14676,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35697,39.20148,54942.15218,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35698,39.20157,54942.15759,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35696,39.20138,54942.16304,0
083325.69+391204.7,1138037061290,17.92,0.14,128.35700,39.20142,55178.33228,0
083325.69+391204.7,1138037061290,17.81,0.13,128.35695,39.20135,55178.33801,0
083325.69+391204.7,1138037061290,17.93,0.15,128.35693,39.20148,55178.34376,0
083325.69+391204.7,1138037061290,17.95,0.15,128.35670,39.20120,55178.34954,0
083325.69+391204.7,1138037061290,17.87,0.10,128.35693,39.20138,55185.33333,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35707,39.20137,55185.34211,0
083325.69+391204.7,1138037061290,17.91,0.10,128.35685,39.20132,55185.35090,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35723,39.20126,55185.36053,0
083325.69+391204.7,1138037061290,17.87,0.10,128.35689,39.20143,54875.32198,0
083325.69+391204.7,1138037061290,18.30,0.12,128.35698,39.20161,54875.32802,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35703,39.20152,54875.33398,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35690,39.20144,54875.34002,0
083325.69+391204.7,1138037061290,17.76,0.10,128.35692,39.20130,54889.18143,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35694,39.20153,54889.18927,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35714,39.20146,54889.19706,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35700,39.20147,54889.20495,0
083325.69+391204.7,1138037061290,17.97,0.10,128.35680,39.20142,54851.27117,0
083325.69+391204.7,1138037061290,18.09,0.10,128.35709,39.20151,54851.27758,0
083325.69+391204.7,1138037061290,18.07,0.10,128.35683,39.20143,54851.28401,0
083325.69+391204.7,1138037061290,18.10,0.10,128.35703,39.20151,54851.29057,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35700,39.20140,54861.19413,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35707,39.20149,54861.20332,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35689,39.20131,54861.21245,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35722,39.20135,54861.22167,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35704,39.20157,54913.20954,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35707,39.20149,54913.21558,0
083325.69+391204.7,1138037061290,17.96,0.11,128.35705,39.20131,54913.22168,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35717,39.20139,54913.22780,0
083325.69+391204.7,1138037061290,18.12,0.12,128.35700,39.20144,54965.16520,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35685,39.20154,54965.17072,0
083325.69+391204.7,1138037061290,18.21,0.12,128.35708,39.20154,54965.17615,0
083325.69+391204.7,1138037061290,17.77,0.11,128.35713,39.20125,54965.18154,0
083325.69+391204.7,1138037061290,17.96,0.11,128.35697,39.20139,55151.38257,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35697,39.20151,55151.39494,0
083325.69+391204.7,1138037061290,17.86,0.11,128.35698,39.20148,55151.40723,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35697,39.20147,55151.41941,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35720,39.20143,55130.41742,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35708,39.20148,55130.42654,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35716,39.20137,55130.43570,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35701,39.20133,55130.44482,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35692,39.20159,55091.47246,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35732,39.20158,55091.47923,0
083325.69+391204.7,1138037061290,18.15,0.12,128.35720,39.20158,55091.48601,0
083325.69+391204.7,1138037061290,18.09,0.12,128.35725,39.20139,55091.49272,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35703,39.20126,55293.23150,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35692,39.20139,55293.23608,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35685,39.20146,55293.24070,0
083325.69+391204.7,1138037061290,17.82,0.10,128.35709,39.20151,55293.24529,0
083325.69+391204.7,1138037061290,17.65,0.10,128.35683,39.20139,55300.14431,0
083325.69+391204.7,1138037061290,17.76,0.10,128.35660,39.20132,55300.15120,0
083325.69+391204.7,1138037061290,17.80,0.10,128.35686,39.20130,55300.15806,0
083325.69+391204.7,1138037061290,17.84,0.10,128.35700,39.20142,55300.16494,0
083325.69+391204.7,1138037061290,17.90,0.10,128.35701,39.20140,55533.35620,0
083325.69+391204.7,1138037061290,18.05,0.10,128.35691,39.20150,55533.36826,0
083325.69+391204.7,1138037061290,17.97,0.10,128.35710,39.20170,55533.37431,0
083325.69+391204.7,1138037061290,18.03,0.10,128.35694,39.20130,55543.37870,0
083325.69+391204.7,1138037061290,17.95,0.10,128.35709,39.20133,55543.39397,0
083325.69+391204.7,1138037061290,17.85,0.10,128.35695,39.20146,55543.40160,0
083325.69+391204.7,1138037061290,17.82,0.23,128.35692,39.20191,55229.33474,0
083325.69+391204.7,1138037061290,17.31,0.20,128.35724,39.20074,55229.34598,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35694,39.20143,55240.22097,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35688,39.20140,55240.22844,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35684,39.20132,55240.23598,0
083325.69+391204.7,1138037061290,17.79,0.10,128.35687,39.20138,55240.24350,0
083325.69+391204.7,1138037061290,17.84,0.10,128.35704,39.20150,55246.25607,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35712,39.20147,55246.26438,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35698,39.20142,55246.27172,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35688,39.20146,55246.27879,0
083325.69+391204.7,1138037061290,17.72,0.12,128.35689,39.20147,55206.26643,0
083325.69+391204.7,1138037061290,17.96,0.15,128.35697,39.20126,55206.27281,0
083325.69+391204.7,1138037061290,17.73,0.13,128.35687,39.20137,55206.27916,0
083325.69+391204.7,1138037061290,17.97,0.15,128.35694,39.20139,55206.28551,0
083325.69+391204.7,1138037061290,17.66,0.10,128.35691,39.20139,55274.21277,0
083325.69+391204.7,1138037061290,17.75,0.10,128.35702,39.20138,55274.22018,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35691,39.20144,55274.22762,0
083325.69+391204.7,1138037061290,17.84,0.11,128.35702,39.20145,55274.23505,0
083325.69+391204.7,1138037061290,17.81,0.11,128.35687,39.20145,55328.14149,0
083325.69+391204.7,1138037061290,17.85,0.11,128.35697,39.20125,55328.14840,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35693,39.20161,55328.15528,0
083325.69+391204.7,1138037061290,17.89,0.11,128.35695,39.20162,55328.16221,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35687,39.20149,55503.42529,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35725,39.20145,55503.43670,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35695,39.20147,55503.44245,0
083325.69+391204.7,1138037061290,17.89,0.11,128.35704,39.20150,55510.41242,0
083325.69+391204.7,1138037061290,17.85,0.11,128.35685,39.20142,55510.42277,0
083325.69+391204.7,1138037061290,18.16,0.12,128.35689,39.20153,55510.42798,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35704,39.20157,55500.47743,0
083325.69+391204.7,1138037061290,17.69,0.10,128.35704,39.20142,55500.49112,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35704,39.20147,55680.18108,0
083325.69+391204.7,1138037061290,18.01,0.10,128.35705,39.20149,55680.18933,0
083325.69+391204.7,1138037061290,17.90,0.10,128.35698,39.20149,55680.19762,0
083325.69+391204.7,1138037061290,17.83,0.10,128.35693,39.20135,55680.20582,0
083325.69+391204.7,1138037061290,17.89,0.10,128.35691,39.20146,55598.18743,0
083325.69+391204.7,1138037061290,18.01,0.10,128.35699,39.20175,55598.19428,0
083325.69+391204.7,1138037061290,18.04,0.10,128.35701,39.20163,55598.20114,0
083325.69+391204.7,1138037061290,17.66,0.09,128.35709,39.20138,55598.20797,0
083325.69+391204.7,1138037061290,17.97,0.12,128.35710,39.20152,55564.28137,0
083325.69+391204.7,1138037061290,17.81,0.11,128.35699,39.20149,55564.28884,0
083325.69+391204.7,1138037061290,17.98,0.11,128.35689,39.20152,55564.29637,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35700,39.20145,55564.30386,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35713,39.20152,55571.34814,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35701,39.20156,55571.35284,0
083325.69+391204.7,1138037061290,17.94,0.15,128.35685,39.20162,55571.35760,0
083325.69+391204.7,1138037061290,18.17,0.18,128.35689,39.20158,55571.36254,0
083325.69+391204.7,1138037061290,17.78,0.10,128.35709,39.20155,55589.24352,0
083325.69+391204.7,1138037061290,17.97,0.11,128.35696,39.20158,55589.24924,0
083325.69+391204.7,1138037061290,18.06,0.11,128.35677,39.20150,55589.25503,0
083325.69+391204.7,1138037061290,17.86,0.11,128.35700,39.20151,55589.26080,0
083325.69+391204.7,1138037061290,17.91,0.13,128.35676,39.20165,55626.12217,0
083325.69+391204.7,1138037061290,18.01,0.12,128.35703,39.20174,55626.12558,0
083325.69+391204.7,1138037061290,17.83,0.11,128.35712,39.20143,55626.12912,0
083325.69+391204.7,1138037061290,18.11,0.12,128.35700,39.20160,55626.13258,0
083325.69+391204.7,1138037061290,18.23,0.15,128.35724,39.20172,55632.11380,0
083325.69+391204.7,1138037061290,17.82,0.14,128.35701,39.20172,55632.11655,0
083325.69+391204.7,1138037061290,17.94,0.13,128.35702,39.20154,55632.12234,0
083325.69+391204.7,1138037061290,17.88,0.14,128.35669,39.20142,55632.12510,0
083325.69+391204.7,1138037061290,18.09,0.11,128.35706,39.20136,55862.43367,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35687,39.20128,55862.44183,0
083325.69+391204.7,1138037061290,17.88,0.11,128.35709,39.20129,55862.45004,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35684,39.20129,55862.45817,0
083325.69+391204.7,1138037061290,17.82,0.11,128.35712,39.20129,55834.43824,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35711,39.20124,55834.44517,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35715,39.20126,55834.45213,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35699,39.20130,55834.45909,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35712,39.20160,55851.44950,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35694,39.20154,55851.45761,0
083325.69+391204.7,1138037061290,17.95,0.11,128.35719,39.20140,55851.46571,0
083325.69+391204.7,1138037061290,18.22,0.12,128.35715,39.20145,55851.47382,0
083325.69+391204.7,1138037061290,17.86,0.10,128.35719,39.20126,55892.44774,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35703,39.20147,55892.45241,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35711,39.20129,55892.45705,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35710,39.20134,55892.46173,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35705,39.20143,55922.33695,0
083325.69+391204.7,1138037061290,17.93,0.11,128.35699,39.20139,55922.34369,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35705,39.20145,55922.35058,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35722,39.20144,55922.35738,0
083325.69+391204.7,1138037061290,17.79,0.10,128.35731,39.20136,55928.27880,0
083325.69+391204.7,1138037061290,17.89,0.11,128.35711,39.20130,55928.28809,0
083325.69+391204.7,1138037061290,17.80,0.10,128.35689,39.20125,55928.29729,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35699,39.20145,55928.30649,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35685,39.20141,55940.26658,0
083325.69+391204.7,1138037061290,17.90,0.11,128.35704,39.20148,55940.27166,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35713,39.20146,55940.27678,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35713,39.20140,55940.28193,0
083325.69+391204.7,1138037061290,18.15,0.12,128.35719,39.20130,55967.19847,0
083325.69+391204.7,1138037061290,17.83,0.11,128.35711,39.20142,55967.20641,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35705,39.20150,55967.21429,0
083325.69+391204.7,1138037061290,18.04,0.11,128.35704,39.20144,55967.22221,0
083325.69+391204.7,1138037061290,17.82,0.11,128.35710,39.20137,55975.16173,0
083325.69+391204.7,1138037061290,17.92,0.11,128.35718,39.20122,55975.16851,0
083325.69+391204.7,1138037061290,18.13,0.12,128.35700,39.20146,55975.17647,0
083325.69+391204.7,1138037061290,17.66,0.10,128.35699,39.20103,55975.18320,0
083325.69+391204.7,1138037061290,18.02,0.11,128.35712,39.20127,55980.16621,0
083325.69+391204.7,1138037061290,17.87,0.11,128.35712,39.20116,55980.17235,0
083325.69+391204.7,1138037061290,17.99,0.11,128.35677,39.20143,55980.17858,0
083325.69+391204.7,1138037061290,18.00,0.11,128.35693,39.20128,55980.18472,0
083325.69+391204.7,1138037061290,18.09,0.12,128.35707,39.20139,55987.14208,0
083325.69+391204.7,1138037061290,17.94,0.11,128.35719,39.20143,55987.14886,0
083325.69+391204.7,1138037061290,17.98,0.12,128.35699,39.20127,55987.15569,0
083325.69+391204.7,1138037061290,18.01,0.12,128.35720,39.20144,55987.16250,0
083325.69+391204.7,1138037061290,18.08,0.10,128.35696,39.20151,56014.16543,0
083325.69+391204.7,1138037061290,18.16,0.11,128.35706,39.20135,56014.17436,0
083325.69+391204.7,1138037061290,18.07,0.10,128.35671,39.20143,56014.18326,0
083325.69+391204.7,1138037061290,18.10,0.11,128.35713,39.20142,56014.19217,0
083325.69+391204.7,1138037061290,18.22,0.12,128.35702,39.20131,56044.18723,0
083325.69+391204.7,1138037061290,18.18,0.12,128.35711,39.20145,56044.19576,0
083325.69+391204.7,1138037061290,18.10,0.12,128.35694,39.20132,56044.20430,0
083325.69+391204.7,1138037061290,18.07,0.12,128.35698,39.20141,56044.21293,0
083325.69+391204.7,1138037061290,18.01,0.11,128.35723,39.20134,56069.14525,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35688,39.20129,56069.15092,0
083325.69+391204.7,1138037061290,18.19,0.12,128.35704,39.20137,56069.15657,0
083325.69+391204.7,1138037061290,18.03,0.11,128.35724,39.20133,56069.16232,0
083325.69+391204.7,1138037061290,18.20,0.12,128.35698,39.20145,56074.15666,0
083325.69+391204.7,1138037061290,18.05,0.11,128.35701,39.20132,56074.16176,0
083325.69+391204.7,1138037061290,17.91,0.11,128.35688,39.20133,56074.16686,0
083325.69+391204.7,1138037061290,18.10,0.12,128.35701,39.20115,56074.17190,0
083325.69+391204.7,1138037061290,17.85,0.12,128.35747,39.20149,56225.39396,0
083325.69+391204.7,1138037061290,18.14,0.13,128.35694,39.20139,56225.40001,0
083325.69+391204.7,1138037061290,18.03,0.13,128.35689,39.20156,56225.40607,0
083325.69+391204.7,1138037061290,18.16,0.13,128.35672,39.20141,56225.41215,0
083325.69+391204.7,1138037061290,18.18,0.13,128.35662,39.20130,56227.39493,0
083325.69+391204.7,1138037061290,18.07,0.13,128.35720,39.20154,56227.40255,0
083325.69+391204.7,1138037061290,17.87,0.12,128.35689,39.20138,56227.41015,0
083325.69+391204.7,1138037061290,17.71,0.11,128.35675,39.20108,56227.41777,0
083325.69+391204.7,1138037061290,18.19,0.11,128.35712,39.20149,56238.50609,0
083325.69+391204.7,1138037061290,17.95,0.10,128.35696,39.20131,56238.51185,0
