MJD,m,dm,F,source_name
61205.353985,-23.24,5.222,c,140655.51+582200.0
61205.364505,23.069,4.3,c,140655.51+582200.0
61206.342922,-23.666,7.571,c,140655.51+582200.0
61206.346139,-21.402,0.93,c,140655.51+582200.0
61206.353042,-22.782,2.75,c,140655.51+582200.0
61177.420529,-17.093,0.003,c,161742.53+322234.4
61177.455904,-17.006,0.003,c,161742.53+322234.4
61177.463216,-17.159,0.01,c,161742.53+322234.4
61177.488484,-17.112,0.013,c,161742.53+322234.4
61181.470818,-17.024,0.012,c,161742.53+322234.4
61182.478957,-17.037,0.016,c,161742.53+322234.4
61182.482455,-17.12,0.008,c,161742.53+322234.4
61182.513152,-16.889,0.005,c,161742.53+322234.4
61182.541314,-16.951,0.014,c,161742.53+322234.4
61183.588394,-17.001,0.014,c,161742.53+322234.4
61183.59257,-16.862,0.004,c,161742.53+322234.4
61183.610841,-17.055,0.024,c,161742.53+322234.4
61183.617302,-17.079,0.063,c,161742.53+322234.4
61186.486316,-17.139,0.022,o,161742.53+322234.4
61186.489132,-16.956,0.013,o,161742.53+322234.4
61186.526424,-16.997,0.004,o,161742.53+322234.4
61186.556142,-16.745,0.003,o,161742.53+322234.4
61187.466697,-16.892,0.025,o,161742.53+322234.4
61187.469877,-16.878,0.022,o,161742.53+322234.4
61187.502525,-16.904,0.024,o,161742.53+322234.4
61187.5308,-17.001,0.024,o,161742.53+322234.4
61188.440678,-16.937,0.027,o,161742.53+322234.4
61188.443859,-16.717,0.017,o,161742.53+322234.4
61188.449636,-16.898,0.024,o,161742.53+322234.4
61188.480839,-17.127,0.025,o,161742.53+322234.4
61189.42868,-16.937,0.028,o,161742.53+322234.4
61189.432178,-16.753,0.017,o,161742.53+322234.4
61189.438101,-16.902,0.027,o,161742.53+322234.4
61189.473332,-17.12,0.036,o,161742.53+322234.4
61192.421148,-17.143,0.033,o,161742.53+322234.4
61192.424614,-17.09,0.034,o,161742.53+322234.4
61192.449503,-17.044,0.025,o,161742.53+322234.4
61192.455712,-17.049,0.033,o,161742.53+322234.4
61192.45729,-16.861,0.027,o,161742.53+322234.4
61192.458911,-16.823,0.025,o,161742.53+322234.4
61192.466447,-17.127,0.03,o,161742.53+322234.4
61195.413245,-16.975,0.021,o,161742.53+322234.4
61195.417538,-16.858,0.018,o,161742.53+322234.4
61195.44926,-17.09,0.028,o,161742.53+322234.4
61195.455614,-17.025,0.027,o,161742.53+322234.4
61199.414721,-17.053,0.008,o,161742.53+322234.4
61199.423456,-16.859,0.004,o,161742.53+322234.4
61199.426436,-16.971,0.004,o,161742.53+322234.4
61199.462043,-16.637,0.007,o,161742.53+322234.4
61200.40861,-16.81,0.008,o,161742.53+322234.4
61200.412305,-16.878,0.02,o,161742.53+322234.4
61200.417859,-16.919,0.013,o,161742.53+322234.4
61200.429243,-17.085,0.018,o,161742.53+322234.4
61204.39153,-17.265,0.003,c,161742.53+322234.4
61204.394763,0.0,0.0,c,161742.53+322234.4
61204.404666,-17.315,0.005,c,161742.53+322234.4
61204.415292,-17.202,0.003,c,161742.53+322234.4
61205.406986,-17.192,0.004,o,161742.53+322234.4
61205.4185,-17.132,0.004,o,161742.53+322234.4
61205.421688,-16.705,0.003,o,161742.53+322234.4
61177.449479,-20.992,0.67,c,153145.14+431933.8
61177.452674,-20.842,0.53,c,153145.14+431933.8
61177.487883,-19.741,0.154,c,153145.14+431933.8
61177.493362,-19.919,0.246,c,153145.14+431933.8
61181.437384,-21.053,0.765,o,153145.14+431933.8
61181.440603,-20.652,0.574,o,153145.14+431933.8
61182.433368,-20.342,0.444,o,153145.14+431933.8
61182.436109,-20.221,0.397,o,153145.14+431933.8
61182.441135,-20.043,0.317,o,153145.14+431933.8
61182.475218,-21.936,2.053,o,153145.14+431933.8
61183.592101,-19.991,0.463,c,153145.14+431933.8
61183.597309,-19.765,0.372,c,153145.14+431933.8
61183.61502,-19.209,0.437,c,153145.14+431933.8
61183.61919,-19.453,1.033,c,153145.14+431933.8
61184.402297,-20.527,0.714,o,153145.14+431933.8
61184.436817,-20.397,0.5,o,153145.14+431933.8
61184.440518,-19.968,0.448,o,153145.14+431933.8
61184.446011,-20.479,0.568,o,153145.14+431933.8
61185.419203,-21.116,0.989,o,153145.14+431933.8
61185.424319,-20.249,0.43,o,153145.14+431933.8
61185.444468,-19.503,0.203,o,153145.14+431933.8
61185.447698,-23.656,10.889,o,153145.14+431933.8
61187.399677,-20.747,0.644,o,153145.14+431933.8
61187.432304,-19.819,0.328,o,153145.14+431933.8
61187.434589,-21.427,1.427,o,153145.14+431933.8
61187.435046,21.261,1.446,o,153145.14+431933.8
61187.437791,-21.212,1.194,o,153145.14+431933.8
61187.440531,-20.875,1.071,o,153145.14+431933.8
61187.442815,-19.83,0.283,o,153145.14+431933.8
61187.478232,-20.461,0.658,o,153145.14+431933.8
61188.395955,-19.979,0.464,o,153145.14+431933.8
61188.399156,-20.335,0.573,o,153145.14+431933.8
61188.404748,-20.235,0.56,o,153145.14+431933.8
61188.438564,-20.76,1.04,o,153145.14+431933.8
61190.399503,-20.87,1.679,o,153145.14+431933.8
61190.40271,-21.265,1.955,o,153145.14+431933.8
61190.408211,-20.203,1.157,o,153145.14+431933.8
61190.415123,-12.326,0.726,o,153145.14+431933.8
61190.419234,-20.118,0.788,o,153145.14+431933.8
61191.389527,-18.574,2.526,o,153145.14+431933.8
61191.392285,-21.585,9.868,o,153145.14+431933.8
61191.398241,-18.572,0.564,o,153145.14+431933.8
61191.408362,17.024,1.139,o,153145.14+431933.8
61196.344463,-20.897,0.712,o,153145.14+431933.8
61196.346274,-20.716,0.539,o,153145.14+431933.8
61196.349467,-20.213,0.302,o,153145.14+431933.8
61196.371824,-20.469,0.468,o,153145.14+431933.8
61197.382824,-20.725,0.393,c,153145.14+431933.8
61197.385569,-20.753,0.407,c,153145.14+431933.8
61197.38831,-20.309,0.267,c,153145.14+431933.8
61197.391516,-21.288,0.738,c,153145.14+431933.8
61200.394272,23.11,11.75,c,153145.14+431933.8
61200.397476,-17.488,0.387,c,153145.14+431933.8
61200.403415,-19.571,0.94,c,153145.14+431933.8
61200.437761,-20.497,1.159,c,153145.14+431933.8
61202.377482,-20.983,0.701,o,153145.14+431933.8
61202.380739,-20.102,0.299,o,153145.14+431933.8
61202.386703,-20.132,0.288,o,153145.14+431933.8
61202.435794,-20.367,0.488,o,153145.14+431933.8
61205.383265,-20.259,0.272,c,153145.14+431933.8
61205.386008,-20.127,0.259,c,153145.14+431933.8
61205.391964,-20.214,0.298,c,153145.14+431933.8
61205.40157,-19.909,0.196,c,153145.14+431933.8
61206.362178,-21.343,0.708,c,153145.14+431933.8
61206.371815,-20.266,0.272,c,153145.14+431933.8
61206.374565,-20.569,0.346,c,153145.14+431933.8
61177.032911,21.789,1.347,c,110104.14+062829.5
61177.036558,-21.069,0.817,c,110104.14+062829.5
61177.046663,21.84,1.5,c,110104.14+062829.5
61177.0535,19.818,0.261,c,110104.14+062829.5
61180.037287,21.701,2.121,c,110104.14+062829.5
61180.042739,20.388,0.366,c,110104.14+062829.5
61180.04596,21.417,0.975,c,110104.14+062829.5
61180.055978,21.4,0.944,c,110104.14+062829.5
61183.005425,-23.303,15.182,o,110104.14+062829.5
61183.009069,20.061,0.782,o,110104.14+062829.5
61183.069684,-24.486,49.5,o,110104.14+062829.5
61183.082505,21.267,1.598,o,110104.14+062829.5
61186.263632,16.499,0.953,o,110104.14+062829.5
61186.272378,-20.665,1.245,o,110104.14+062829.5
61189.043538,20.706,1.852,o,110104.14+062829.5
61189.046706,22.764,12.154,o,110104.14+062829.5
61189.052614,20.177,1.141,o,110104.14+062829.5
61189.063111,19.533,0.656,o,110104.14+062829.5
61190.297959,22.768,7.696,o,110104.14+062829.5
61190.300722,20.824,1.076,o,110104.14+062829.5
61190.307668,21.054,1.513,o,110104.14+062829.5
61190.319621,19.501,0.302,o,110104.14+062829.5
61190.786151,19.735,0.529,o,110104.14+062829.5
61190.789308,19.348,0.374,o,110104.14+062829.5
61190.799012,-19.536,0.512,o,110104.14+062829.5
61190.812187,-19.675,0.489,o,110104.14+062829.5
61192.017395,18.5,1.754,o,110104.14+062829.5
61192.02195,20.007,8.95,o,110104.14+062829.5
61192.030269,17.891,2.191,o,110104.14+062829.5
61192.04025,19.212,6.797,o,110104.14+062829.5
61195.029009,-18.634,0.385,o,110104.14+062829.5
61195.032194,-21.33,3.487,o,110104.14+062829.5
61195.039029,-21.809,5.429,o,110104.14+062829.5
61195.050157,-18.728,0.752,o,110104.14+062829.5
61196.270672,20.913,0.825,o,110104.14+062829.5
61196.273508,21.592,1.455,o,110104.14+062829.5
61196.280453,20.738,0.868,o,110104.14+062829.5
61196.300763,20.714,0.855,o,110104.14+062829.5
61196.781548,20.573,0.482,c,110104.14+062829.5
61196.785171,-21.435,1.667,c,110104.14+062829.5
61196.792729,20.095,0.257,c,110104.14+062829.5
61196.802694,20.688,0.449,c,110104.14+062829.5
61204.0512,19.882,1.441,o,110104.14+062829.5
61204.054397,19.397,1.354,o,110104.14+062829.5
61204.060807,-17.698,0.497,o,110104.14+062829.5
61177.124474,-20.077,0.316,c,133433.24-013825.3
61177.128086,-20.149,0.319,c,133433.24-013825.3
61177.134057,-19.596,0.19,c,133433.24-013825.3
61177.136366,-21.221,0.716,c,133433.24-013825.3
61177.139565,-20.696,0.403,c,133433.24-013825.3
61177.144549,-20.667,0.557,c,133433.24-013825.3
61177.144999,-21.045,0.602,c,133433.24-013825.3
61177.160034,-20.483,0.357,c,133433.24-013825.3
61180.116585,-20.586,0.429,c,133433.24-013825.3
61180.122087,-21.413,3.179,c,133433.24-013825.3
61180.12528,22.64,6.182,c,133433.24-013825.3
61180.136235,-21.711,5.714,c,133433.24-013825.3
61183.135189,-21.665,5.529,o,133433.24-013825.3
61183.143498,22.857,11.818,o,133433.24-013825.3
61183.146681,-18.697,0.369,o,133433.24-013825.3
61183.158755,20.071,0.759,o,133433.24-013825.3
61183.165163,-20.332,0.513,o,133433.24-013825.3
61183.168321,-17.96,0.469,o,133433.24-013825.3
61183.168771,-17.728,0.339,o,133433.24-013825.3
61183.171495,-18.404,0.383,o,133433.24-013825.3
61183.17467,-18.999,0.318,o,133433.24-013825.3
61184.344426,-20.907,0.95,o,133433.24-013825.3
61184.348096,24.355,20.6,o,133433.24-013825.3
61184.35038,20.395,0.567,o,133433.24-013825.3
61184.383294,22.483,4.556,o,133433.24-013825.3
61184.385592,-20.428,0.601,o,133433.24-013825.3
61184.388552,-20.841,0.96,o,133433.24-013825.3
61184.389519,-21.275,1.188,o,133433.24-013825.3
61184.395287,-22.317,3.935,o,133433.24-013825.3
61184.806952,20.707,79.0,o,133433.24-013825.3
61184.807403,-16.077,1.311,o,133433.24-013825.3
61184.808774,16.647,1.395,o,133433.24-013825.3
61184.809224,16.868,1.531,o,133433.24-013825.3
61184.811941,-19.659,7.209,o,133433.24-013825.3
61184.812391,-20.81,32.833,o,133433.24-013825.3
61184.836261,18.555,2.399,o,133433.24-013825.3
61184.836712,-19.42,7.0,o,133433.24-013825.3
61190.356163,-21.062,1.929,o,133433.24-013825.3
61190.358953,-20.768,1.47,o,133433.24-013825.3
61190.364022,19.827,0.604,o,133433.24-013825.3
61190.380307,19.828,0.555,o,133433.24-013825.3
61190.874951,20.318,1.528,o,133433.24-013825.3
61190.878123,-22.109,9.031,o,133433.24-013825.3
61190.883539,19.171,1.127,o,133433.24-013825.3
61190.8991,-22.112,7.436,o,133433.24-013825.3
61192.121081,18.054,1.661,o,133433.24-013825.3
61192.124262,-17.563,1.019,o,133433.24-013825.3
61192.130651,17.783,1.327,o,133433.24-013825.3
61192.141162,16.548,0.954,o,133433.24-013825.3
61195.120059,17.245,0.55,o,133433.24-013825.3
61195.122857,17.592,1.348,o,133433.24-013825.3
61195.12831,-19.063,1.942,o,133433.24-013825.3
61195.13889,-17.831,1.333,o,133433.24-013825.3
61196.351955,-21.874,2.609,o,133433.24-013825.3
61196.354903,-21.968,3.105,o,133433.24-013825.3
61196.357194,-20.578,0.797,o,133433.24-013825.3
61196.361345,-21.161,1.432,o,133433.24-013825.3
61196.37695,20.899,1.158,o,133433.24-013825.3
61196.377426,-22.835,6.083,o,133433.24-013825.3
61196.857135,22.954,5.143,o,133433.24-013825.3
61196.86075,-21.041,1.065,o,133433.24-013825.3
61196.866712,20.952,0.922,o,133433.24-013825.3
61196.867614,22.543,3.56,o,133433.24-013825.3
61196.876651,21.489,1.625,o,133433.24-013825.3
61196.88435,21.799,2.039,o,133433.24-013825.3
61198.216445,-20.12,0.613,o,133433.24-013825.3
61198.2276,22.147,4.412,o,133433.24-013825.3
61198.230802,20.202,0.728,o,133433.24-013825.3
61198.24019,19.829,0.503,o,133433.24-013825.3
61202.291049,-20.351,0.338,c,133433.24-013825.3
61202.294713,-20.93,0.522,c,133433.24-013825.3
61202.300201,-21.324,0.945,c,133433.24-013825.3
61202.311944,-21.0,1.0,c,133433.24-013825.3
61204.12438,-19.043,0.624,o,133433.24-013825.3
61204.129512,-18.336,0.399,o,133433.24-013825.3
61204.1327,-19.633,1.547,o,133433.24-013825.3
61204.14414,-20.705,2.758,o,133433.24-013825.3
61197.122934,-19.141,3.842,o,012715.48-001115.1
61197.126192,-20.648,8.326,o,012715.48-001115.1
61197.13631,-23.333,13.182,o,012715.48-001115.1
61177.383858,20.997,0.573,c,134406.11+392817.4
61177.386642,23.365,4.5,c,134406.11+392817.4
61177.405469,20.075,0.259,c,134406.11+392817.4
61177.41332,23.111,5.667,c,134406.11+392817.4
61181.350518,-20.766,0.592,o,134406.11+392817.4
61181.353881,22.172,1.676,o,134406.11+392817.4
61181.358948,22.398,2.031,o,134406.11+392817.4
61181.36415,20.609,0.408,o,134406.11+392817.4
61181.364927,21.023,0.679,o,134406.11+392817.4
61181.367324,23.031,4.95,o,134406.11+392817.4
61181.373718,21.543,1.092,o,134406.11+392817.4
61181.374568,20.854,0.589,o,134406.11+392817.4
61181.394426,-23.987,10.75,o,134406.11+392817.4
61182.357806,20.891,0.626,o,134406.11+392817.4
61182.363802,24.126,13.667,o,134406.11+392817.4
61182.367481,21.418,1.254,o,134406.11+392817.4
61182.378938,20.222,0.408,o,134406.11+392817.4
61184.364044,21.627,2.047,o,134406.11+392817.4
61184.367242,22.347,3.212,o,134406.11+392817.4
61184.372732,20.28,0.581,o,134406.11+392817.4
61184.383158,20.98,1.016,o,134406.11+392817.4
61185.35505,20.436,0.679,o,134406.11+392817.4
61185.358263,20.851,0.94,o,134406.11+392817.4
61185.364724,22.805,4.455,o,134406.11+392817.4
61185.374363,20.366,0.685,o,134406.11+392817.4
61187.355208,21.532,1.625,o,134406.11+392817.4
61187.360273,20.169,0.516,o,134406.11+392817.4
61187.36576,-21.127,1.057,o,134406.11+392817.4
61187.380844,-20.981,1.121,o,134406.11+392817.4
61188.351217,-21.441,2.098,o,134406.11+392817.4
61188.354388,-21.906,3.426,o,134406.11+392817.4
61188.359838,-20.523,0.834,o,134406.11+392817.4
61188.362867,-23.644,13.429,o,134406.11+392817.4
61188.365631,21.171,1.244,o,134406.11+392817.4
61188.37253,-22.114,3.484,o,134406.11+392817.4
61188.375287,20.037,0.54,o,134406.11+392817.4
61188.383585,20.362,0.563,o,134406.11+392817.4
61189.381291,-20.937,1.303,o,134406.11+392817.4
61189.385116,-20.645,1.17,o,134406.11+392817.4
61189.406217,-22.881,9.1,o,134406.11+392817.4
61189.412845,20.627,1.282,o,134406.11+392817.4
61190.353501,20.279,0.596,o,134406.11+392817.4
61190.356707,20.331,0.66,o,134406.11+392817.4
61190.362797,21.243,1.278,o,134406.11+392817.4
61190.372895,21.88,3.108,o,134406.11+392817.4
61191.348324,22.131,3.865,o,134406.11+392817.4
61191.351068,19.941,0.714,o,134406.11+392817.4
61191.357008,-20.096,0.99,o,134406.11+392817.4
61191.367549,20.295,1.946,o,134406.11+392817.4
61192.338977,20.902,1.293,o,134406.11+392817.4
61192.354476,23.513,13.1,o,134406.11+392817.4
61192.367047,22.849,6.875,o,134406.11+392817.4
61192.370424,-21.317,1.623,o,134406.11+392817.4
61195.36066,21.304,1.125,o,134406.11+392817.4
61195.362488,20.833,0.971,o,134406.11+392817.4
61195.363856,-20.287,0.481,o,134406.11+392817.4
61195.365701,22.286,3.5,o,134406.11+392817.4
61195.372518,20.668,0.762,o,134406.11+392817.4
61195.372972,20.677,0.812,o,134406.11+392817.4
61195.388586,21.837,2.512,o,134406.11+392817.4
61195.389974,20.148,0.515,o,134406.11+392817.4
61196.481783,20.728,1.269,o,134406.11+392817.4
61196.485761,19.907,0.591,o,134406.11+392817.4
61196.49238,20.054,0.716,o,134406.11+392817.4
61197.329623,18.452,0.057,c,134406.11+392817.4
61197.332826,20.768,0.447,c,134406.11+392817.4
61197.338309,20.333,0.286,c,134406.11+392817.4
61197.348359,20.791,0.453,c,134406.11+392817.4
61200.336182,20.949,0.836,c,134406.11+392817.4
61200.339381,21.215,0.782,c,134406.11+392817.4
61200.344875,21.403,0.822,c,134406.11+392817.4
61200.355409,23.374,5.375,c,134406.11+392817.4
61202.326739,20.426,0.454,o,134406.11+392817.4
61202.330379,21.391,1.112,o,134406.11+392817.4
61202.34038,22.549,2.516,o,134406.11+392817.4
61202.345861,20.368,0.41,o,134406.11+392817.4
61204.325605,21.72,1.132,c,134406.11+392817.4
61204.328803,20.476,0.366,c,134406.11+392817.4
61204.352475,-20.429,0.307,c,134406.11+392817.4
61204.365952,20.546,0.41,c,134406.11+392817.4
61205.342538,21.621,1.163,c,134406.11+392817.4
61205.34528,20.699,0.471,c,134406.11+392817.4
61205.351233,21.025,0.649,c,134406.11+392817.4
61205.365885,22.092,1.75,c,134406.11+392817.4
61205.368194,15.774,0.368,o,134406.11+392817.4
61205.371411,21.652,2.726,o,134406.11+392817.4
61205.387166,19.942,0.431,o,134406.11+392817.4
61206.317247,22.716,2.941,c,134406.11+392817.4
61206.319988,21.057,0.582,c,134406.11+392817.4
61206.325934,21.176,0.722,c,134406.11+392817.4
61206.336055,21.149,0.716,c,134406.11+392817.4
61177.069123,21.388,0.915,c,121028.83+025454.2
61177.080282,21.316,0.904,c,121028.83+025454.2
61177.085778,21.599,1.091,c,121028.83+025454.2
61177.088968,22.16,2.281,c,121028.83+025454.2
61180.078386,20.977,0.58,c,121028.83+025454.2
61180.081552,-23.056,3.9,c,121028.83+025454.2
61180.087464,-22.597,2.379,c,121028.83+025454.2
61180.099292,21.299,1.041,c,121028.83+025454.2
61183.109919,-22.918,14.25,o,121028.83+025454.2
61183.113571,18.735,3.344,o,121028.83+025454.2
61183.126041,18.277,2.118,o,121028.83+025454.2
61183.138938,20.086,1.728,o,121028.83+025454.2
61184.271535,-22.368,5.25,o,121028.83+025454.2
61184.274804,-20.607,0.872,o,121028.83+025454.2
61184.284306,-21.16,1.657,o,121028.83+025454.2
61184.294222,-21.531,2.667,o,121028.83+025454.2
61189.078111,21.439,3.063,o,121028.83+025454.2
61189.081287,20.65,1.16,o,121028.83+025454.2
61189.087659,22.31,5.241,o,121028.83+025454.2
61189.097784,20.29,0.773,o,121028.83+025454.2
61190.327457,-20.471,0.966,o,121028.83+025454.2
61190.330251,20.363,0.837,o,121028.83+025454.2
61190.336736,19.579,0.436,o,121028.83+025454.2
61190.347899,19.659,0.419,o,121028.83+025454.2
61190.816702,20.068,0.89,o,121028.83+025454.2
61190.820312,20.628,1.667,o,121028.83+025454.2
61190.829017,-20.452,1.209,o,121028.83+025454.2
61190.840352,-20.76,2.18,o,121028.83+025454.2
61192.065478,17.533,1.374,o,121028.83+025454.2
61192.075546,17.514,1.206,o,121028.83+025454.2
61192.078732,-17.907,3.356,o,121028.83+025454.2
61192.087542,-17.58,2.86,o,121028.83+025454.2
61195.073878,19.294,1.301,o,121028.83+025454.2
61195.077085,-18.825,1.239,o,121028.83+025454.2
61195.086272,-22.606,75.333,o,121028.83+025454.2
61195.100858,-19.987,3.776,o,121028.83+025454.2
61196.291536,22.419,4.667,o,121028.83+025454.2
61196.294781,21.207,1.156,o,121028.83+025454.2
61196.307696,-20.562,0.54,o,121028.83+025454.2
61196.319318,-20.724,0.659,o,121028.83+025454.2
61196.814481,23.7,6.5,c,121028.83+025454.2
61196.817634,22.035,1.514,c,121028.83+025454.2
61196.823981,22.258,1.897,c,121028.83+025454.2
61196.833995,-20.727,0.561,c,121028.83+025454.2
61202.254179,24.07,21.667,c,121028.83+025454.2
61202.26103,-22.057,4.5,c,121028.83+025454.2
61202.264847,19.128,0.478,c,121028.83+025454.2
61202.279135,19.371,0.853,c,121028.83+025454.2
61204.083982,-18.993,1.278,o,121028.83+025454.2
61204.087221,-20.251,2.698,o,121028.83+025454.2
61204.09732,-19.22,0.976,o,121028.83+025454.2
61177.396195,-20.345,0.409,c,143947.10+421317.3
61177.399813,-19.945,0.226,c,143947.10+421317.3
61177.406441,-20.347,0.384,c,143947.10+421317.3
61177.418079,-19.712,0.176,c,143947.10+421317.3
61181.380974,-22.072,2.049,o,143947.10+421317.3
61181.38465,-20.631,0.518,o,143947.10+421317.3
61181.389705,21.39,1.253,o,143947.10+421317.3
61181.400685,-21.831,1.259,o,143947.10+421317.3
61182.387176,-21.687,1.586,o,143947.10+421317.3
61182.39221,-20.031,0.331,o,143947.10+421317.3
61182.394953,-21.063,0.75,o,143947.10+421317.3
61182.43017,-20.655,0.553,o,143947.10+421317.3
61183.571608,-20.559,0.926,c,143947.10+421317.3
61183.575817,-19.757,0.465,c,143947.10+421317.3
61183.581384,20.695,1.279,c,143947.10+421317.3
61183.596331,19.878,0.811,c,143947.10+421317.3
61184.390438,-19.865,0.444,o,143947.10+421317.3
61184.393619,-20.346,0.5,o,143947.10+421317.3
61184.399542,-20.621,0.57,o,143947.10+421317.3
61184.43453,-21.483,1.699,o,143947.10+421317.3
61185.380791,21.535,1.812,o,143947.10+421317.3
61185.383558,-20.583,0.753,o,143947.10+421317.3
61185.415534,-21.432,1.114,o,143947.10+421317.3
61185.422915,-21.49,1.603,o,143947.10+421317.3
61187.373983,-21.226,1.26,o,143947.10+421317.3
61187.379017,-21.714,1.717,o,143947.10+421317.3
61187.382696,-20.544,0.565,o,143947.10+421317.3
61187.395502,-19.625,0.305,o,143947.10+421317.3
61188.36747,21.374,1.797,o,143947.10+421317.3
61188.37116,-20.861,1.066,o,143947.10+421317.3
61188.37713,-21.172,1.379,o,143947.10+421317.3
61188.390923,-20.344,0.706,o,143947.10+421317.3
61189.389699,-20.017,0.67,o,143947.10+421317.3
61189.393771,22.017,3.74,o,143947.10+421317.3
61189.40014,-19.876,0.45,o,143947.10+421317.3
61189.412391,-19.367,0.32,o,143947.10+421317.3
61190.380724,-20.566,1.244,o,143947.10+421317.3
61190.383912,-20.156,0.929,o,143947.10+421317.3
61190.389826,-21.04,1.708,o,143947.10+421317.3
61190.399972,-21.464,1.876,o,143947.10+421317.3
61191.375324,-19.491,10.565,o,143947.10+421317.3
61191.378979,18.993,1.487,o,143947.10+421317.3
61191.384922,-19.195,0.892,o,143947.10+421317.3
61191.394572,18.899,1.088,o,143947.10+421317.3
61196.488929,-21.161,1.344,o,143947.10+421317.3
61196.492855,20.365,0.678,o,143947.10+421317.3
61196.525119,20.93,1.457,o,143947.10+421317.3
61196.553374,20.402,1.429,o,143947.10+421317.3
61197.354331,-20.531,0.399,c,143947.10+421317.3
61197.358017,-20.987,0.505,c,143947.10+421317.3
61197.364908,-20.398,0.288,c,143947.10+421317.3
61197.379161,-20.621,0.364,c,143947.10+421317.3
61200.356787,-20.335,0.307,c,143947.10+421317.3
61200.359985,-20.489,0.345,c,143947.10+421317.3
61200.365467,-20.282,0.309,c,143947.10+421317.3
61200.377349,-20.237,0.96,c,143947.10+421317.3
61202.362198,-22.415,2.667,o,143947.10+421317.3
61202.36542,-20.301,0.409,o,143947.10+421317.3
61202.372925,-20.918,0.81,o,143947.10+421317.3
61202.38301,23.335,7.083,o,143947.10+421317.3
61205.359478,21.949,1.343,c,143947.10+421317.3
61205.362219,-20.677,0.408,c,143947.10+421317.3
61205.367714,-20.716,0.456,c,143947.10+421317.3
61205.377776,-20.607,0.415,c,143947.10+421317.3
61206.343379,-20.093,0.222,c,143947.10+421317.3
61206.346596,-20.826,0.437,c,143947.10+421317.3
61206.35624,-19.925,0.185,c,143947.10+421317.3
61181.262089,20.531,0.5,o,094203.33+593709.5
61181.269413,20.66,0.595,o,094203.33+593709.5
61181.272164,20.695,0.669,o,094203.33+593709.5
61181.281775,21.81,1.976,o,094203.33+593709.5
61182.268441,20.175,0.491,o,094203.33+593709.5
61182.271184,20.747,0.822,o,094203.33+593709.5
61182.282196,-21.354,1.348,o,094203.33+593709.5
61182.287702,-22.559,4.318,o,094203.33+593709.5
61184.260264,-22.138,3.683,o,094203.33+593709.5
61184.263462,22.766,5.833,o,094203.33+593709.5
61184.268968,-21.416,1.824,o,094203.33+593709.5
61184.280001,21.151,1.51,o,094203.33+593709.5
61185.248713,-22.403,4.452,o,094203.33+593709.5
61185.253865,20.016,0.464,o,094203.33+593709.5
61185.257113,-23.419,11.182,o,094203.33+593709.5
61185.272273,21.595,1.8,o,094203.33+593709.5
61187.269049,20.73,0.936,o,094203.33+593709.5
61187.271798,-20.348,0.621,o,094203.33+593709.5
61187.276868,-21.701,2.184,o,094203.33+593709.5
61187.287374,20.771,0.925,o,094203.33+593709.5
61188.248676,21.199,1.705,o,094203.33+593709.5
61188.253768,21.268,1.473,o,094203.33+593709.5
61188.25651,21.217,1.49,o,094203.33+593709.5
61188.26618,-21.247,1.582,o,094203.33+593709.5
61190.248884,20.716,1.711,o,094203.33+593709.5
61190.25213,-20.973,1.831,o,094203.33+593709.5
61190.258618,20.757,1.556,o,094203.33+593709.5
61190.268382,-22.233,5.474,o,094203.33+593709.5
61191.250612,20.07,4.939,o,094203.33+593709.5
61191.253358,17.95,1.832,o,094203.33+593709.5
61191.260697,19.557,1.35,o,094203.33+593709.5
61191.27313,19.929,0.808,o,094203.33+593709.5
61200.25364,21.17,1.283,c,094203.33+593709.5
61200.256865,21.387,1.426,c,094203.33+593709.5
61200.262379,20.989,0.779,c,094203.33+593709.5
61200.272021,-20.519,0.5,c,094203.33+593709.5
61177.3365,-20.861,0.64,c,220546.32+005319.2
61177.35855,-21.512,0.939,c,220546.32+005319.2
61177.365368,-20.969,0.555,c,220546.32+005319.2
61177.375131,-20.646,0.486,c,220546.32+005319.2
61180.382325,-21.035,1.81,c,220546.32+005319.2
61180.385509,20.708,1.732,c,220546.32+005319.2
61180.392385,16.296,1.006,c,220546.32+005319.2
61180.397886,15.12,0.763,c,220546.32+005319.2
61180.49476,21.724,2.514,c,220546.32+005319.2
61180.518798,22.421,4.286,c,220546.32+005319.2
61180.53697,-21.482,1.453,c,220546.32+005319.2
61180.547891,-21.378,1.517,c,220546.32+005319.2
61183.406348,-19.773,0.348,c,220546.32+005319.2
61183.409541,-19.344,0.255,c,220546.32+005319.2
61183.429649,-20.12,1.09,c,220546.32+005319.2
61183.432862,-19.326,0.506,c,220546.32+005319.2
61184.59301,-21.154,0.902,o,220546.32+005319.2
61184.596685,-19.818,0.323,o,220546.32+005319.2
61184.605952,-19.807,0.245,o,220546.32+005319.2
61184.613303,-19.509,0.203,o,220546.32+005319.2
61185.113598,-21.681,2.104,o,220546.32+005319.2
61185.115403,-19.755,0.361,o,220546.32+005319.2
61185.118562,-19.893,0.405,o,220546.32+005319.2
61185.142872,-21.267,1.985,o,220546.32+005319.2
61190.569758,-20.094,0.792,o,220546.32+005319.2
61190.582081,-19.611,0.385,o,220546.32+005319.2
61190.59133,-19.264,0.298,o,220546.32+005319.2
61190.600649,-20.542,0.795,o,220546.32+005319.2
61191.087912,-19.61,0.576,o,220546.32+005319.2
